# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
2.170075e+03 1.260642e+02 2.156441e+00 5.188009e-01 9.057784e-02 1.283987e+00 2.630160e-01 5.890972e-05
2.236068e+03 1.261917e+02 2.184362e+00 5.191267e-01 8.935953e-02 1.307064e+00 2.687516e-01 6.079412e-05
2.304068e+03 1.263182e+02 2.212333e+00 5.194783e-01 8.795285e-02 1.330325e+00 2.745140e-01 6.274416e-05
2.374136e+03 1.264434e+02 2.240634e+00 5.198550e-01 8.664279e-02 1.353770e+00 2.803009e-01 6.471842e-05
2.446335e+03 1.265675e+02 2.269145e+00 5.202564e-01 8.531348e-02 1.377399e+00 2.861092e-01 6.673260e-05
2.520729e+03 1.266905e+02 2.297863e+00 5.206820e-01 8.396540e-02 1.401210e+00 2.919365e-01 6.879688e-05
2.597386e+03 1.268125e+02 2.326784e+00 5.211314e-01 8.259859e-02 1.425204e+00 2.977793e-01 7.063922e-05
2.676374e+03 1.269333e+02 2.355904e+00 5.216040e-01 8.121410e-02 1.449379e+00 3.036347e-01 7.238360e-05
2.757764e+03 1.270530e+02 2.385224e+00 5.220995e-01 7.981278e-02 1.473735e+00 3.095016e-01 7.475154e-05
2.841629e+03 1.271718e+02 2.414718e+00 5.226174e-01 7.838975e-02 1.498262e+00 3.153706e-01 7.772979e-05
2.928045e+03 1.272894e+02 2.444613e+00 5.231562e-01 7.700274e-02 1.523048e+00 3.212423e-01 1.638570e-04
# 3.017088e+03 - - - - - - -
3.108840e+03 1.275217e+02 2.504449e+00 5.243015e-01 7.406366e-02 1.572979e+00 3.330015e-01 1.037737e-04
3.203381e+03 1.276364e+02 2.534598e+00 5.249052e-01 7.256295e-02 1.598201e+00 3.388586e-01 7.027193e-05
3.300798e+03 1.277501e+02 2.564977e+00 5.255288e-01 7.100891e-02 1.623624e+00 3.447226e-01 9.304807e-05
3.401177e+03 1.278628e+02 2.571610e+00 5.261725e-01 4.554802e-02 1.649227e+00 3.505681e-01 9.367492e-05
3.504608e+03 1.279746e+02 2.626303e+00 5.268357e-01 6.797714e-02 1.675002e+00 3.563923e-01 9.558752e-05
3.611186e+03 1.280854e+02 2.657223e+00 5.275419e-01 6.643361e-02 1.700951e+00 3.621992e-01 9.752434e-05
