# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
5.000000e+02 1.167325e+02 1.791641e+00 1.306518e+00 8.931707e-02 3.474327e-01 4.836574e-02 7.338138e-06
5.152053e+02 1.170417e+02 1.632822e+00 1.129316e+00 9.080965e-02 3.616492e-01 5.103891e-02 7.636724e-06
5.308730e+02 1.173375e+02 1.615919e+00 1.094458e+00 9.207427e-02 3.756461e-01 5.373260e-02 7.871584e-06
5.470171e+02 1.176231e+02 1.614310e+00 1.075212e+00 9.313267e-02 3.895070e-01 5.645027e-02 8.422315e-06
5.636522e+02 1.179007e+02 1.596011e+00 1.039467e+00 9.405143e-02 4.032915e-01 5.919295e-02 8.922924e-06
5.807932e+02 1.181723e+02 1.618040e+00 1.044174e+00 9.485307e-02 4.170430e-01 6.196014e-02 9.355528e-06
5.984554e+02 1.184397e+02 1.645230e+00 1.054112e+00 9.556555e-02 4.307930e-01 6.474897e-02 9.798098e-06
6.166548e+02 1.187042e+02 1.678040e+00 1.069697e+00 9.621253e-02 4.445648e-01 6.755594e-02 1.038230e-05
6.354076e+02 1.189673e+02 1.716974e+00 1.091395e+00 9.681790e-02 4.583749e-01 7.037511e-02 1.105767e-05
6.547307e+02 1.192303e+02 1.762605e+00 1.119741e+00 9.741835e-02 4.722346e-01 7.319970e-02 1.158050e-05
6.746414e+02 1.194943e+02 1.815519e+00 1.155348e+00 9.798879e-02 4.861487e-01 7.602139e-02 1.208659e-05
6.951576e+02 1.188432e+02 1.175556e+00 5.088445e-01 8.563089e-02 4.961519e-01 8.491595e-02 1.296291e-05
7.162978e+02 1.190614e+02 1.181883e+00 4.970758e-01 8.554091e-02 5.108527e-01 8.839987e-02 1.355745e-05
7.380808e+02 1.192748e+02 1.198926e+00 4.959149e-01 8.536467e-02 5.256742e-01 9.195822e-02 1.425597e-05
7.605262e+02 1.194838e+02 1.216196e+00 4.948577e-01 8.510837e-02 5.406237e-01 9.559127e-02 1.497548e-05
7.836543e+02 1.196887e+02 1.233700e+00 4.939012e-01 8.477717e-02 5.557072e-01 9.929914e-02 1.567829e-05
8.074856e+02 1.198897e+02 1.251448e+00 4.930417e-01 8.437643e-02 5.709306e-01 1.030828e-01 1.651437e-05
8.320417e+02 1.200872e+02 1.269438e+00 4.922756e-01 8.390849e-02 5.862970e-01 1.069400e-01 1.723038e-05
8.573446e+02 1.202812e+02 1.287680e+00 4.915987e-01 8.337876e-02 6.018117e-01 1.108730e-01 1.803210e-05
8.834169e+02 1.204721e+02 1.306174e+00 4.910070e-01 8.279002e-02 6.174776e-01 1.148808e-01 1.886712e-05
9.102821e+02 1.206599e+02 1.324922e+00 4.904963e-01 8.214507e-02 6.332975e-01 1.189631e-01 1.972189e-05
9.379643e+02 1.208449e+02 1.343923e+00 4.900626e-01 8.144679e-02 6.492739e-01 1.231196e-01 2.057895e-05
9.664883e+02 1.210272e+02 1.363179e+00 4.897018e-01 8.069744e-02 6.654090e-01 1.273498e-01 2.147238e-05
9.958798e+02 1.212069e+02 1.382734e+00 4.894102e-01 7.989934e-02 6.817485e-01 1.316532e-01 2.240517e-05
1.026165e+03 1.213841e+02 1.402372e+00 4.891411e-01 7.901173e-02 6.981657e-01 1.360299e-01 2.337293e-05
1.057371e+03 1.215589e+02 1.422429e+00 4.889745e-01 7.816491e-02 7.147872e-01 1.404778e-01 2.435519e-05
1.089527e+03 1.217314e+02 1.442694e+00 4.888664e-01 7.723235e-02 7.315733e-01 1.449967e-01 2.539800e-05
1.122660e+03 1.219017e+02 1.463209e+00 4.888134e-01 7.625835e-02 7.485252e-01 1.495858e-01 2.643505e-05
1.156800e+03 1.220700e+02 1.483973e+00 4.888127e-01 7.524444e-02 7.656436e-01 1.542443e-01 2.752175e-05
1.191979e+03 1.222361e+02 1.504982e+00 4.888615e-01 7.419200e-02 7.829292e-01 1.589709e-01 2.862450e-05
1.228228e+03 1.224003e+02 1.526237e+00 4.889571e-01 7.310239e-02 8.003828e-01 1.637647e-01 2.979786e-05
1.265579e+03 1.225626e+02 1.547734e+00 4.890971e-01 7.197682e-02 8.180049e-01 1.686245e-01 3.093957e-05
1.304066e+03 1.227231e+02 1.569472e+00 4.892793e-01 7.081644e-02 8.357954e-01 1.735491e-01 3.214190e-05
1.343723e+03 1.228817e+02 1.591449e+00 4.895016e-01 6.962227e-02 8.537552e-01 1.785371e-01 3.336211e-05
1.384587e+03 1.230386e+02 1.613663e+00 4.897621e-01 6.839543e-02 8.718842e-01 1.835871e-01 3.462995e-05
1.426693e+03 1.231938e+02 1.636112e+00 4.900590e-01 6.713677e-02 8.901828e-01 1.886976e-01 3.593653e-05
1.470079e+03 1.233474e+02 1.658793e+00 4.903907e-01 6.584728e-02 9.086508e-01 1.938671e-01 3.727216e-05
1.514785e+03 1.234994e+02 1.681705e+00 4.907558e-01 6.452781e-02 9.272885e-01 1.990940e-01 3.864024e-05
1.560851e+03 1.236498e+02 1.704844e+00 4.911529e-01 6.317913e-02 9.460956e-01 2.043765e-01 4.004798e-05
1.608317e+03 1.237986e+02 1.728209e+00 4.915808e-01 6.180202e-02 9.650722e-01 2.097130e-01 4.147998e-05
1.657227e+03 1.239462e+02 1.751660e+00 4.920394e-01 6.018197e-02 9.842018e-01 2.151939e-01 4.297963e-05
1.707624e+03 1.240921e+02 1.775512e+00 4.925255e-01 5.879080e-02 1.003517e+00 2.206347e-01 4.445718e-05
1.759554e+03 1.242366e+02 1.799543e+00 4.930394e-01 5.733118e-02 1.023002e+00 2.261238e-01 4.624188e-05
# 1.813063e+03 1.244702e+02 1.539318e+00 4.945382e-01 9.447969e-02 9.503003e-01 0.000000e+00 0.000000e+00
1.868199e+03 1.245215e+02 1.848250e+00 4.941471e-01 5.433487e-02 1.062474e+00 2.372444e-01 5.050296e-05
1.925012e+03 1.246619e+02 1.872990e+00 4.947394e-01 5.288032e-02 1.082462e+00 2.428575e-01 5.092919e-05
1.983553e+03 1.248010e+02 1.897863e+00 4.953564e-01 5.131839e-02 1.102618e+00 2.485173e-01 5.256783e-05
2.043874e+03 1.249386e+02 1.923044e+00 4.959968e-01 4.992526e-02 1.122960e+00 2.541075e-01 5.430226e-05
2.106029e+03 1.250752e+02 1.948102e+00 4.966616e-01 4.809636e-02 1.143451e+00 2.598369e-01 5.608000e-05
2.170075e+03 1.252105e+02 1.973809e+00 4.973495e-01 4.669542e-02 1.164108e+00 2.655985e-01 5.790429e-05
2.236068e+03 1.253446e+02 1.999488e+00 4.980599e-01 4.504865e-02 1.184931e+00 2.713896e-01 5.974309e-05
2.304068e+03 1.254776e+02 2.025360e+00 4.987924e-01 4.338003e-02 1.205919e+00 2.772076e-01 6.163809e-05
2.374136e+03 1.256093e+02 2.051334e+00 4.995466e-01 4.160208e-02 1.227072e+00 2.830497e-01 6.360697e-05
2.446335e+03 1.257399e+02 2.077802e+00 5.003221e-01 4.011229e-02 1.248389e+00 2.889131e-01 6.557751e-05
2.520729e+03 1.258694e+02 2.108282e+00 5.011184e-01 4.243106e-02 1.269870e+00 2.947950e-01 6.757229e-05
2.597386e+03 1.259978e+02 2.138990e+00 5.019352e-01 4.477786e-02 1.291515e+00 3.006924e-01 6.963296e-05
2.676374e+03 1.261250e+02 2.169919e+00 5.027721e-01 4.715091e-02 1.313322e+00 3.066025e-01 7.180318e-05
2.757764e+03 1.262512e+02 2.201061e+00 5.036287e-01 4.954740e-02 1.335290e+00 3.125217e-01 7.359807e-05
2.841629e+03 1.263763e+02 2.232420e+00 5.045047e-01 5.197095e-02 1.357420e+00 3.184488e-01 7.596396e-05
2.928045e+03 1.265004e+02 2.263481e+00 5.053996e-01 5.391504e-02 1.379711e+00 3.243777e-01 7.798708e-05
3.017088e+03 1.266235e+02 2.295771e+00 5.063132e-01 5.691653e-02 1.402162e+00 3.303023e-01 7.760110e-05
3.108840e+03 1.267455e+02 2.327785e+00 5.072452e-01 5.942106e-02 1.424764e+00 3.362541e-01 1.002110e-04
3.203381e+03 1.268666e+02 2.359398e+00 5.081946e-01 6.188626e-02 1.447212e+00 3.418023e-01 3.034020e-04
3.300798e+03 1.269619e+02 2.472867e+00 5.089895e-01 8.911584e-02 1.494801e+00 3.582780e-01 2.168327e-02
3.401177e+03 1.271056e+02 2.424819e+00 5.101459e-01 6.709904e-02 1.493622e+00 3.539155e-01 3.724621e-05
3.504608e+03 1.272237e+02 2.457527e+00 5.111473e-01 6.968327e-02 1.516777e+00 3.598228e-01 9.618696e-05
3.611186e+03 1.273409e+02 2.490408e+00 5.121648e-01 7.230977e-02 1.540167e+00 3.656685e-01 9.856421e-05
3.721004e+03 1.274571e+02 2.523474e+00 5.131983e-01 7.495968e-02 1.563714e+00 3.715003e-01 1.015462e-04
3.834161e+03 1.275724e+02 2.556658e+00 5.142474e-01 7.760420e-02 1.587418e+00 3.772894e-01 9.931193e-05
3.950760e+03 1.276868e+02 2.590042e+00 5.153117e-01 8.030339e-02 1.611272e+00 3.830519e-01 1.030560e-04
4.070905e+03 1.278003e+02 2.623586e+00 5.163909e-01 8.302643e-02 1.635282e+00 3.887813e-01 1.056098e-04
4.194704e+03 1.279129e+02 2.657276e+00 5.174844e-01 8.577287e-02 1.659442e+00 3.944685e-01 1.090598e-04
4.322267e+03 1.280246e+02 2.691104e+00 5.185919e-01 8.854130e-02 1.683752e+00 4.001087e-01 1.104377e-04
4.453710e+03 1.281355e+02 2.725072e+00 5.197130e-01 9.133294e-02 1.708212e+00 4.057007e-01 1.136865e-04
4.589149e+03 1.282455e+02 2.759174e+00 5.208473e-01 9.414842e-02 1.732823e+00 4.112386e-01 1.170645e-04
4.728708e+03 1.283547e+02 2.793401e+00 5.219943e-01 9.698561e-02 1.757582e+00 4.167189e-01 1.204927e-04
4.872511e+03 1.284630e+02 2.827748e+00 5.231537e-01 9.984591e-02 1.782488e+00 4.221364e-01 1.239538e-04
5.020686e+03 1.285705e+02 2.862205e+00 5.243250e-01 1.027274e-01 1.807540e+00 4.274860e-01 1.269177e-04
5.173368e+03 1.286772e+02 2.896772e+00 5.255078e-01 1.056321e-01 1.832738e+00 4.327633e-01 1.302914e-04
5.330693e+03 1.287831e+02 2.931410e+00 5.267016e-01 1.085580e-01 1.858081e+00 4.379369e-01 1.325492e-04
5.492803e+03 1.288882e+02 2.966206e+00 5.279060e-01 1.115067e-01 1.883571e+00 4.430846e-01 1.368633e-04
5.659842e+03 1.289925e+02 3.001062e+00 5.291206e-01 1.144764e-01 1.909202e+00 4.481229e-01 1.392961e-04
5.831961e+03 1.290960e+02 3.036011e+00 5.303450e-01 1.174690e-01 1.934976e+00 4.530770e-01 1.440463e-04
6.009314e+03 1.291988e+02 3.070980e+00 5.315787e-01 1.204807e-01 1.960866e+00 4.579076e-01 1.473319e-04
6.192061e+03 1.293008e+02 3.105840e+00 5.328213e-01 1.235145e-01 1.986654e+00 4.627048e-01 1.453880e-04
# 6.380365e+03 1.294021e+02 1.008972e+01 5.340723e-01 7.075855e+00 2.011859e+00 4.677833e-01 1.500959e-04
# 6.574395e+03 1.295026e+02 6.651294e-01 5.353314e-01 1.296439e-01 0.000000e+00 0.000000e+00 1.540873e-04
6.774326e+03 1.296024e+02 3.211012e+00 5.365985e-01 1.327458e-01 2.065191e+00 4.763370e-01 1.404421e-04
6.980337e+03 1.297014e+02 3.247282e+00 5.378731e-01 1.358930e-01 2.092708e+00 4.806341e-01 1.740364e-04
7.192613e+03 1.297997e+02 3.281991e+00 5.391577e-01 1.389915e-01 2.118976e+00 4.846971e-01 1.690965e-04
7.411344e+03 1.298978e+02 3.315929e+00 5.404396e-01 1.416734e-01 2.145313e+00 4.882492e-01 2.538923e-04
7.636728e+03 1.297749e+02 4.030649e+00 5.611957e-01 3.647539e-01 2.392603e+00 7.120962e-01 0.000000e+00
