# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
5.000000e+02 9.982024e+01 4.492254e-01 2.069440e-01 7.036002e-02 1.509178e-01 2.099301e-02 1.050691e-05
5.152053e+02 1.001521e+02 4.619782e-01 2.100225e-01 7.140187e-02 1.581991e-01 2.235147e-02 3.276030e-06
5.308730e+02 - - - - - - -
5.470171e+02 1.008079e+02 4.885673e-01 2.160637e-01 7.382161e-02 1.733936e-01 2.527614e-02 1.229707e-05
5.636522e+02 1.011318e+02 5.023149e-01 2.190319e-01 7.512271e-02 1.813175e-01 2.682971e-02 1.306849e-05
5.807932e+02 1.014529e+02 5.162622e-01 2.219683e-01 7.637323e-02 1.894591e-01 2.844783e-02 1.375055e-05
5.984554e+02 1.017714e+02 5.304128e-01 2.248753e-01 7.757280e-02 1.978187e-01 3.013162e-02 1.446964e-05
6.166548e+02 1.020871e+02 5.447696e-01 2.277550e-01 7.872052e-02 2.063969e-01 3.188203e-02 1.521236e-05
6.354076e+02 1.024002e+02 5.592296e-01 2.306104e-01 7.966847e-02 2.151842e-01 3.375031e-02 1.615587e-05
6.547307e+02 1.027105e+02 5.740141e-01 2.334417e-01 8.071549e-02 2.242010e-01 3.563909e-02 1.672753e-05
6.746414e+02 1.030180e+02 5.890062e-01 2.362516e-01 8.170377e-02 2.334366e-01 3.759645e-02 1.774842e-05
6.951576e+02 1.033227e+02 6.042179e-01 2.390419e-01 8.264004e-02 2.428927e-01 3.962454e-02 1.861341e-05
7.162978e+02 1.036248e+02 6.196486e-01 2.418143e-01 8.352376e-02 2.525684e-01 4.172277e-02 1.942523e-05
7.380808e+02 1.039241e+02 6.353033e-01 2.445702e-01 8.435536e-02 2.624647e-01 4.389260e-02 2.041296e-05
7.605262e+02 1.042207e+02 6.511813e-01 2.473111e-01 8.513450e-02 2.725808e-01 4.613376e-02 2.112146e-05
7.836543e+02 1.045145e+02 6.672880e-01 2.500384e-01 8.586188e-02 2.829175e-01 4.844791e-02 2.228237e-05
8.074856e+02 1.048057e+02 6.837130e-01 2.527533e-01 8.662857e-02 2.934737e-01 5.083427e-02 2.323343e-05
8.320417e+02 1.050941e+02 7.002799e-01 2.554569e-01 8.725488e-02 3.042499e-01 5.329397e-02 2.426422e-05
8.573446e+02 1.053799e+02 7.170781e-01 2.581504e-01 8.782936e-02 3.152460e-01 5.582706e-02 2.530547e-05
8.834169e+02 1.056630e+02 7.341100e-01 2.608348e-01 8.835352e-02 3.264613e-01 5.843407e-02 2.637120e-05
9.102821e+02 1.059434e+02 7.514030e-01 2.635109e-01 8.885451e-02 3.378956e-01 6.111455e-02 2.744072e-05
9.379643e+02 1.062212e+02 7.689034e-01 2.661795e-01 8.927713e-02 3.495490e-01 6.386920e-02 2.854695e-05
9.664883e+02 1.064964e+02 7.866384e-01 2.688416e-01 8.964882e-02 3.614205e-01 6.669775e-02 2.975615e-05
9.958798e+02 1.067690e+02 8.046102e-01 2.714977e-01 8.997093e-02 3.735101e-01 6.960041e-02 3.103816e-05
1.026165e+03 1.070390e+02 8.228181e-01 2.741485e-01 9.024315e-02 3.858173e-01 7.257688e-02 3.230180e-05
1.057371e+03 1.073064e+02 8.412630e-01 2.767946e-01 9.046618e-02 3.983415e-01 7.562705e-02 3.361839e-05
1.089527e+03 1.075713e+02 8.599449e-01 2.794365e-01 9.064050e-02 4.110823e-01 7.875067e-02 3.493407e-05
1.122660e+03 1.078337e+02 8.788639e-01 2.820746e-01 9.076655e-02 4.240390e-01 8.194750e-02 3.627141e-05
1.156800e+03 1.080937e+02 8.979970e-01 2.847092e-01 9.075964e-02 4.371983e-01 8.529215e-02 3.767312e-05
1.191979e+03 1.083511e+02 9.173902e-01 2.873410e-01 9.078936e-02 4.505846e-01 8.863629e-02 3.890822e-05
1.228228e+03 1.086009e+02 9.624282e-01 2.899319e-01 9.597688e-02 4.695090e-01 9.726681e-02 9.743716e-03
1.265579e+03 1.088586e+02 9.568877e-01 2.925967e-01 9.070891e-02 4.779999e-01 9.554016e-02 4.206924e-05
1.304066e+03 1.091087e+02 9.769887e-01 2.952212e-01 9.059785e-02 4.920271e-01 9.909887e-02 4.359956e-05
1.343723e+03 1.093565e+02 9.973262e-01 2.978437e-01 9.044493e-02 5.062665e-01 1.027258e-01 4.524621e-05
1.384587e+03 1.096018e+02 1.017896e+00 3.004645e-01 9.024501e-02 5.207172e-01 1.064225e-01 4.682829e-05
1.426693e+03 1.098449e+02 1.038700e+00 3.030835e-01 9.000284e-02 5.353775e-01 1.101873e-01 4.843708e-05
1.470079e+03 1.100856e+02 1.059733e+00 3.057010e-01 8.971281e-02 5.502501e-01 1.140193e-01 5.020440e-05
1.514785e+03 1.103240e+02 1.080998e+00 3.083169e-01 8.938139e-02 5.653306e-01 1.179172e-01 5.189475e-05
1.560851e+03 1.105602e+02 1.102492e+00 3.109314e-01 8.900715e-02 5.806195e-01 1.218802e-01 5.362199e-05
1.608317e+03 1.107942e+02 1.124214e+00 3.135450e-01 8.859055e-02 5.961160e-01 1.259070e-01 5.549974e-05
1.657227e+03 1.110259e+02 1.146162e+00 3.161566e-01 8.813249e-02 6.118196e-01 1.299962e-01 5.758458e-05
1.707624e+03 1.112555e+02 1.168333e+00 3.187667e-01 8.763262e-02 6.277283e-01 1.341462e-01 5.931314e-05
1.759554e+03 1.114828e+02 1.190727e+00 3.213753e-01 8.709240e-02 6.438428e-01 1.383560e-01 6.096579e-05
