# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
5.000000e+02 1.055767e+02 4.028254e-01 1.838140e-01 5.622484e-02 1.430403e-01 1.973654e-02 9.773143e-06
5.152053e+02 1.058694e+02 4.119941e-01 1.866079e-01 5.441357e-02 1.499420e-01 2.102027e-02 1.040542e-05
5.308730e+02 1.061606e+02 4.252387e-01 1.893694e-01 5.644741e-02 1.570485e-01 2.236299e-02 1.037235e-05
5.470171e+02 1.064500e+02 4.380264e-01 1.921011e-01 5.783682e-02 1.643385e-01 2.374773e-02 2.284154e-06
5.636522e+02 1.067378e+02 4.509917e-01 1.948051e-01 5.906531e-02 1.718852e-01 2.522389e-02 1.221577e-05
5.807932e+02 1.070237e+02 4.641365e-01 1.974840e-01 6.027812e-02 1.796155e-01 2.674611e-02 1.287154e-05
5.984554e+02 1.073079e+02 4.774831e-01 2.001397e-01 6.144442e-02 1.875547e-01 2.833068e-02 1.355260e-05
6.166548e+02 1.075902e+02 4.956494e-01 2.027745e-01 6.717854e-02 1.957037e-01 2.997840e-02 1.427591e-05
6.354076e+02 1.078705e+02 5.047858e-01 2.053902e-01 6.362750e-02 2.040629e-01 3.169020e-02 1.501667e-05
6.547307e+02 1.081491e+02 5.186688e-01 2.079896e-01 6.452465e-02 2.126231e-01 3.351592e-02 1.558050e-05
6.746414e+02 1.084255e+02 5.328505e-01 2.105723e-01 6.549589e-02 2.214050e-01 3.536055e-02 1.669553e-05
6.951576e+02 1.086999e+02 5.472461e-01 2.131412e-01 6.642049e-02 2.303958e-01 3.727123e-02 1.736924e-05
7.162978e+02 1.089723e+02 5.618615e-01 2.156975e-01 6.729689e-02 2.395995e-01 3.924955e-02 1.811123e-05
7.380808e+02 1.092426e+02 5.766971e-01 2.182428e-01 6.812481e-02 2.490145e-01 4.129578e-02 1.917716e-05
7.605262e+02 1.095109e+02 5.917545e-01 2.207783e-01 6.890429e-02 2.586417e-01 4.341009e-02 2.006688e-05
7.836543e+02 1.097770e+02 6.070358e-01 2.233053e-01 6.963528e-02 2.684806e-01 4.559351e-02 2.105983e-05
8.074856e+02 1.100411e+02 6.225416e-01 2.258249e-01 7.031771e-02 2.785312e-01 4.784587e-02 2.192294e-05
8.320417e+02 1.103030e+02 6.383638e-01 2.283381e-01 7.104034e-02 2.887940e-01 5.016830e-02 2.297925e-05
8.573446e+02 1.105628e+02 6.543272e-01 2.308458e-01 7.162870e-02 2.992682e-01 5.256044e-02 2.393635e-05
8.834169e+02 1.108204e+02 6.705210e-01 2.333490e-01 7.216976e-02 3.099540e-01 5.502317e-02 2.503748e-05
9.102821e+02 1.110759e+02 6.869441e-01 2.358485e-01 7.266212e-02 3.208512e-01 5.755621e-02 2.612237e-05
9.379643e+02 1.113293e+02 7.035984e-01 2.383448e-01 7.310690e-02 3.319594e-01 6.016005e-02 2.721663e-05
9.664883e+02 1.115806e+02 7.205194e-01 2.408388e-01 7.353942e-02 3.432783e-01 6.283450e-02 2.834264e-05
9.958798e+02 1.118297e+02 7.376375e-01 2.433310e-01 7.388935e-02 3.548077e-01 6.557985e-02 2.957337e-05
1.026165e+03 1.120767e+02 7.549868e-01 2.458220e-01 7.419116e-02 3.665471e-01 6.839579e-02 3.078222e-05
1.057371e+03 1.123215e+02 7.725688e-01 2.483121e-01 7.444628e-02 3.784961e-01 7.128227e-02 3.198708e-05
1.089527e+03 1.125644e+02 7.902951e-01 2.508020e-01 7.451132e-02 3.906427e-01 7.430568e-02 3.332751e-05
1.122660e+03 1.128050e+02 8.084070e-01 2.532918e-01 7.473692e-02 4.030097e-01 7.733416e-02 3.446106e-05
1.156800e+03 1.130435e+02 8.267096e-01 2.557818e-01 7.485095e-02 4.155845e-01 8.045647e-02 3.584625e-05
1.191979e+03 1.132800e+02 8.451989e-01 2.582724e-01 7.491929e-02 4.283667e-01 8.360258e-02 3.788122e-05
1.228228e+03 1.135143e+02 8.639397e-01 2.607639e-01 7.494081e-02 4.413566e-01 8.683949e-02 3.884625e-05
1.265579e+03 1.137466e+02 8.827007e-01 2.632563e-01 7.470587e-02 4.545527e-01 9.014550e-02 4.027537e-05
1.304066e+03 1.139768e+02 9.021138e-01 2.657500e-01 7.484792e-02 4.679547e-01 9.351944e-02 4.182120e-05
1.343723e+03 1.142050e+02 9.215441e-01 2.682448e-01 7.473354e-02 4.815618e-01 9.696061e-02 4.337980e-05
1.384587e+03 1.144312e+02 9.412010e-01 2.707411e-01 7.457354e-02 4.953734e-01 1.004681e-01 4.487637e-05
1.426693e+03 1.146553e+02 9.610854e-01 2.732387e-01 7.436992e-02 5.093888e-01 1.040414e-01 4.654694e-05
1.470079e+03 1.148774e+02 9.811937e-01 2.757378e-01 7.412120e-02 5.236071e-01 1.076794e-01 4.815734e-05
1.514785e+03 1.150976e+02 1.001526e+00 2.782384e-01 7.382837e-02 5.380281e-01 1.113811e-01 4.999171e-05
1.560851e+03 1.153158e+02 1.022080e+00 2.807403e-01 7.349146e-02 5.526505e-01 1.151456e-01 5.178679e-05
1.608317e+03 1.155320e+02 1.042856e+00 2.832437e-01 7.311106e-02 5.674745e-01 1.189731e-01 5.416197e-05
1.657227e+03 1.157464e+02 1.063847e+00 2.857483e-01 7.268575e-02 5.824971e-01 1.228602e-01 5.569924e-05
1.707624e+03 1.159588e+02 1.085048e+00 2.882542e-01 7.221654e-02 5.977199e-01 1.268002e-01 5.697360e-05
1.759554e+03 1.161693e+02 1.106347e+00 2.907623e-01 7.163427e-02 6.131131e-01 1.307948e-01 4.263148e-05
1.813063e+03 1.163779e+02 1.128150e+00 2.932695e-01 7.118327e-02 6.286024e-01 1.349865e-01 1.084544e-04
1.868199e+03 - - - - - - -
1.925012e+03 - - - - - - -
1.983553e+03 1.169943e+02 1.189811e+00 3.008088e-01 6.757629e-02 6.750983e-01 1.444585e-01 1.868729e-03
2.043874e+03 1.171940e+02 1.216937e+00 3.033089e-01 6.857776e-02 6.931724e-01 1.518299e-01 4.805083e-05
2.106029e+03 1.173936e+02 1.238809e+00 3.058201e-01 6.724412e-02 7.097331e-01 1.559666e-01 4.519430e-05
2.170075e+03 1.175913e+02 1.236106e+00 3.083308e-01 4.081510e-02 7.265296e-01 1.603434e-01 8.749747e-05
2.236068e+03 1.177873e+02 1.288143e+00 3.108416e-01 6.900008e-02 7.434878e-01 1.647443e-01 6.892053e-05
2.304068e+03 1.179816e+02 1.308408e+00 3.133519e-01 6.512561e-02 7.606491e-01 1.692054e-01 7.601747e-05
2.374136e+03 1.181741e+02 1.331780e+00 3.158617e-01 6.409299e-02 7.780391e-01 1.737076e-01 7.907322e-05
2.446335e+03 1.183650e+02 1.355322e+00 3.183708e-01 6.306481e-02 7.955758e-01 1.782363e-01 7.469420e-05
2.520729e+03 1.185539e+02 1.380139e+00 3.208770e-01 6.233472e-02 8.136632e-01 1.832346e-01 2.901048e-05
2.597386e+03 1.187419e+02 1.402463e+00 3.233410e-01 6.086220e-02 8.310641e-01 1.871308e-01 6.514800e-05
2.676374e+03 1.189277e+02 1.427075e+00 3.258447e-01 5.984362e-02 8.492392e-01 1.920584e-01 8.926342e-05
2.757764e+03 1.191120e+02 1.451304e+00 3.283464e-01 5.864123e-02 8.675006e-01 1.967221e-01 9.333507e-05
2.841629e+03 1.192947e+02 1.475364e+00 3.308464e-01 5.706423e-02 8.859429e-01 2.014168e-01 9.403981e-05
2.928045e+03 1.194759e+02 1.500288e+00 3.333442e-01 5.614241e-02 9.045656e-01 2.061390e-01 9.695156e-05
3.017088e+03 1.196554e+02 1.524994e+00 3.358398e-01 5.480956e-02 9.233637e-01 2.108811e-01 9.996900e-05
3.108840e+03 1.198335e+02 1.549842e+00 3.383328e-01 5.342615e-02 9.423364e-01 2.156446e-01 1.024309e-04
3.203381e+03 1.200100e+02 1.574815e+00 3.408231e-01 5.198216e-02 9.614809e-01 2.204236e-01 1.048556e-04
3.300798e+03 1.201851e+02 1.599916e+00 3.433105e-01 5.048317e-02 9.807964e-01 2.252180e-01 1.081456e-04
3.401177e+03 1.203587e+02 1.625129e+00 3.457947e-01 4.892117e-02 1.000280e+00 2.300230e-01 1.098357e-04
3.504608e+03 1.205308e+02 1.650456e+00 3.482756e-01 4.729843e-02 1.019928e+00 2.348393e-01 1.144519e-04
3.611186e+03 1.207015e+02 1.675879e+00 3.507530e-01 4.560621e-02 1.039740e+00 2.396635e-01 1.157687e-04
3.721004e+03 1.208708e+02 1.701370e+00 3.532267e-01 4.383914e-02 1.059707e+00 2.444813e-01 1.153262e-04
3.834161e+03 1.210387e+02 1.727456e+00 3.556965e-01 4.248633e-02 1.079842e+00 2.493075e-01 1.231058e-04
3.950760e+03 1.212053e+02 1.763124e+00 3.581621e-01 5.058434e-02 1.100119e+00 2.541387e-01 1.194167e-04
4.070905e+03 1.213705e+02 1.778376e+00 3.606233e-01 3.806006e-02 1.120557e+00 2.589844e-01 1.514261e-04
4.194704e+03 1.215344e+02 1.805549e+00 3.630808e-01 3.741130e-02 1.141148e+00 2.637825e-01 1.261395e-04
4.322267e+03 1.216971e+02 1.841777e+00 3.655337e-01 4.570113e-02 1.161851e+00 2.685562e-01 1.352024e-04
4.453710e+03 1.218585e+02 1.855592e+00 3.679818e-01 3.138225e-02 1.182741e+00 2.732789e-01 2.077372e-04
4.589149e+03 1.220185e+02 1.886496e+00 3.704227e-01 3.345875e-02 1.203867e+00 2.784082e-01 3.398527e-04
4.728708e+03 1.221778e+02 1.928572e+00 3.728607e-01 4.737292e-02 1.225076e+00 2.832367e-01 2.573444e-05
4.872511e+03 1.223365e+02 1.978100e+00 3.753403e-01 6.961223e-02 1.244608e+00 2.874604e-01 1.078681e-03
5.020686e+03 1.224998e+02 2.018931e+00 3.795847e-01 8.784805e-02 1.212779e+00 3.227543e-01 1.596509e-02
5.173368e+03 1.227897e+02 1.897761e+00 3.788114e-01 1.729658e-01 1.243196e+00 0.000000e+00 1.027877e-01
5.330693e+03 1.228062e+02 2.142848e+00 3.825993e-01 1.377636e-01 1.306762e+00 3.052553e-01 1.046762e-02
5.492803e+03 1.229574e+02 2.049193e+00 3.850133e-01 2.598727e-02 1.331821e+00 3.057045e-01 6.674706e-04
5.659842e+03 1.231110e+02 2.074924e+00 3.874056e-01 2.204869e-02 1.352733e+00 3.126613e-01 7.556017e-05
5.831961e+03 1.232644e+02 2.109583e+00 3.898105e-01 2.975477e-02 1.373223e+00 3.166342e-01 1.608849e-04
6.009314e+03 1.234180e+02 2.127111e+00 3.922267e-01 1.955861e-02 1.393651e+00 3.216020e-01 7.209718e-05
6.192061e+03 1.235721e+02 2.161047e+00 3.946314e-01 2.561223e-02 1.412761e+00 3.280417e-01 5.169853e-07
6.380365e+03 1.237287e+02 2.198401e+00 3.970638e-01 3.578698e-02 1.429940e+00 3.354061e-01 2.047469e-04
6.574395e+03 1.238936e+02 2.247063e+00 3.995288e-01 5.653958e-02 1.440276e+00 3.506423e-01 7.678463e-05
6.774326e+03 1.240847e+02 2.059222e+00 4.021940e-01 1.043280e-01 1.427667e+00 1.247668e-01 2.657349e-04
6.980337e+03 1.240161e+02 2.564861e+00 4.033311e-01 1.361410e-01 1.687655e+00 3.375427e-01 1.915657e-04
7.192613e+03 1.241553e+02 2.426308e+00 4.056646e-01 1.183380e-01 1.560811e+00 3.412957e-01 1.983761e-04
7.411344e+03 1.242931e+02 2.463929e+00 4.079769e-01 1.255317e-01 1.585220e+00 3.449632e-01 2.367223e-04
7.636728e+03 1.244299e+02 2.504426e+00 4.102858e-01 1.352977e-01 1.609679e+00 3.488870e-01 2.767564e-04
7.868965e+03 1.245656e+02 2.551061e+00 4.125874e-01 1.514232e-01 1.634398e+00 3.523839e-01 2.689664e-04
8.108264e+03 1.247002e+02 2.556449e+00 4.148779e-01 1.268598e-01 1.658954e+00 3.555325e-01 2.241284e-04
8.354841e+03 - - - - - - -
8.608917e+03 1.249662e+02 2.638722e+00 4.194380e-01 1.481434e-01 1.708811e+00 3.621311e-01 1.984586e-04
8.870719e+03 1.250976e+02 2.694004e+00 4.216980e-01 1.727712e-01 1.734036e+00 3.653060e-01 1.927903e-04
9.140482e+03 1.252278e+02 2.688168e+00 4.239564e-01 1.362246e-01 1.759404e+00 3.683012e-01 2.817136e-04
9.418449e+03 1.253570e+02 2.728584e+00 4.262023e-01 1.460223e-01 1.784854e+00 3.711941e-01 3.111567e-04
9.704870e+03 1.254853e+02 2.613056e+00 4.284399e-01 4.712805e-05 1.810443e+00 3.738061e-01 3.197901e-04
1.000000e+04 1.256126e+02 2.643603e+00 4.306635e-01 3.523765e-05 1.836234e+00 3.762796e-01 3.903541e-04
