# MS = 0, TanBeta = 20, Xt = -2.449
#             MS     new_tower_1l     new_tower_2l      NUHMSSMNoFV           HSSUSY
 3760.6030926383       127.371326       125.917144   1.28298473E+02   1.25729713E+02
 3910.6342441315       127.494207        126.04374   1.28429680E+02   1.25857912E+02
 4066.6509634538       127.615921       126.169061   1.28559261E+02   1.25984847E+02
 4228.8920486569       127.736486       126.293127   1.28687240E+02   1.26110535E+02
 4397.6058231015       127.855914       126.415956   1.28813644E+02   1.26234992E+02
 4573.0505188591       127.974223       126.537567   1.28938494E+02   1.26358230E+02
 4755.4946685052       128.091426       126.657975   1.29061816E+02   1.26480273E+02
 4945.2175197235       128.207537       126.777201   1.29183631E+02   1.26601129E+02
 5142.5094589837        128.32257       126.895259   1.29303963E+02   1.26720813E+02
 5347.6724598881       128.436539       127.012168   1.29422832E+02   1.26839342E+02
 5561.0205413288       128.549457        127.12794   1.29540261E+02   1.26956730E+02
 5782.8802523221       128.661337       127.242596   1.29656271E+02   1.27072990E+02
 6013.5911674517       128.772192        127.35614   1.29770882E+02   1.27188137E+02
 6253.5064111605       128.882034       127.468602   1.29884113E+02   1.27302185E+02
 6502.9931941643       128.990876       127.579984   1.29995985E+02   1.27415146E+02
 6762.4333771605       129.098729       127.690301   1.30106518E+02   1.27527035E+02
 7032.2240573994       129.205606       127.799576   1.30215729E+02   1.27637863E+02
 7312.7781717662       129.311518       127.907815   1.30323637E+02   1.27747646E+02
 7604.5251343404       129.416475       128.015039   1.30430261E+02   1.27856394E+02
 7907.9114879080       129.520491       128.121244   1.30535619E+02   1.27964120E+02
 8223.4015934072       129.623574       128.226459   1.30639728E+02   1.28070837E+02
 8551.4783344623       129.725737       128.330691   1.30742606E+02   1.28176557E+02
 8892.6438629383        129.82699       128.433954   1.30844268E+02   1.28281292E+02
 9247.4203608118       129.927343       128.536256   1.30944733E+02   1.28385053E+02
 9616.3508464007       130.026807       128.637612   1.31044014E+02   1.28487852E+02
 9999.9999992381       130.125391       128.738033   1.31142133E+02   1.28589701E+02
