-3.	116.47771147883257
-2.9	118.1381947275102
-2.8	119.45721624855226
-2.7	120.47517192914103
-2.6	121.22838476170996
-2.5	121.7484071833794
-2.4	122.06330013174284
-2.3	122.1982717844111
-2.2	122.17616950252346
-2.1	122.01786575780102
-2.	121.74256239078318
-1.9	121.36803347128216
-1.8	120.91081903267981
-1.7	120.38638062880115
-1.6	119.8092244985749
-1.5	119.19299908572741
-1.4	118.5505698263382
-1.3	117.89407487194309
-1.2	117.23496437198219
-1.1	116.58402493764034
-1.	115.95139123994912
-0.9	115.3465464037802
-0.8	114.77831261410181
-0.7	114.25483359226034
-0.6	113.78354998901061
-0.5	113.37113197534529
-0.4	113.023601427067
-0.3	112.7460635046173
-0.2	112.54283001692434
-0.1	112.41734730212404
0.	112.37216712683576
0.1	112.40892223949008
0.2	112.52830740156786
0.3	112.73010598463586
0.4	113.01302775092543
0.5	113.37494129131684
0.6	113.81272637325053
0.7	114.32232373512097
0.8	114.89875130990185
0.9	115.53612496460283
1.	116.22768504281858
1.1	116.9658336320535
1.2	117.7421992433835
1.3	118.54778278576144
1.4	119.3737058284771
1.5	120.21189893359481
1.6	121.106930380424
1.7	invalid
1.8	invalid
1.9	invalid
2.	invalid
2.1	invalid
2.2	invalid
2.3	invalid
2.4	invalid
2.5	invalid
2.6	invalid
2.7	invalid
2.8	invalid
2.9	invalid
3.	invalid
