# MS = 2000, TanBeta = 20, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY
   -3.0000000000   1.17976993E+02   1.24120673E+02   1.18868244E+02
   -2.9000000000   1.19448882E+02   1.25590547E+02   1.20255028E+02
   -2.8000000000   1.20641562E+02   1.26716384E+02   1.21359507E+02
   -2.7000000000   1.21584519E+02   1.27542772E+02   1.22215870E+02
   -2.6000000000   1.22304031E+02   1.28111170E+02   1.22853764E+02
   -2.5000000000   1.22823789E+02   1.28451814E+02   1.23299212E+02
   -2.4000000000   1.23165370E+02   1.28600314E+02   1.23575303E+02
   -2.3000000000   1.23348607E+02   1.28578607E+02   1.23702724E+02
   -2.2000000000   1.23391877E+02   1.28410901E+02   1.23700184E+02
   -2.1000000000   1.23312328E+02   1.28116891E+02   1.23584737E+02
   -2.0000000000   1.23126060E+02   1.27723869E+02   1.23372047E+02
   -1.9000000000   1.22848269E+02   1.27238014E+02   1.23076600E+02
   -1.8000000000   1.22493357E+02   1.26688101E+02   1.22711868E+02
   -1.7000000000   1.22075023E+02   1.26075720E+02   1.22290449E+02
   -1.6000000000   1.21606329E+02   1.25425967E+02   1.21824169E+02
   -1.5000000000   1.21099746E+02   1.24750054E+02   1.21324172E+02
   -1.4000000000   1.20567191E+02   1.24052070E+02   1.20800980E+02
   -1.3000000000   1.20020043E+02   1.23352699E+02   1.20264545E+02
   -1.2000000000   1.19469149E+02   1.22660793E+02   1.19724278E+02
   -1.1000000000   1.18924822E+02   1.21982215E+02   1.19189073E+02
   -1.0000000000   1.18396818E+02   1.21327906E+02   1.18667315E+02
    -.9000000000   1.17894321E+02   1.20709225E+02   1.18166880E+02
    -.8000000000   1.17425903E+02   1.20132990E+02   1.17695122E+02
    -.7000000000   1.16999492E+02   1.19605420E+02   1.17258860E+02
    -.6000000000   1.16622324E+02   1.19134376E+02   1.16864350E+02
    -.5000000000   1.16300901E+02   1.18726072E+02   1.16517262E+02
    -.4000000000   1.16040943E+02   1.18385180E+02   1.16222645E+02
    -.3000000000   1.15847341E+02   1.18117651E+02   1.15984893E+02
    -.2000000000   1.15724112E+02   1.17927086E+02   1.15807712E+02
    -.1000000000   1.15674363E+02   1.17817801E+02   1.15694083E+02
               0   1.15700252E+02   1.17790081E+02   1.15646236E+02
     .1000000000   1.15802965E+02   1.17845285E+02   1.15665613E+02
     .2000000000   1.15982694E+02   1.17988013E+02   1.15752851E+02
     .3000000000   1.16238627E+02   1.18216402E+02   1.15907757E+02
     .4000000000   1.16568946E+02   1.18529799E+02   1.16129298E+02
     .5000000000   1.16970833E+02   1.18926762E+02   1.16415586E+02
     .6000000000   1.17440480E+02   1.19405069E+02   1.16763880E+02
     .7000000000   1.17973114E+02   1.19961746E+02   1.17170587E+02
     .8000000000   1.18563017E+02   1.20593094E+02   1.17631261E+02
     .9000000000   1.19203555E+02   1.21294761E+02   1.18140620E+02
    1.0000000000   1.19887206E+02   1.22061789E+02   1.18692546E+02
    1.1000000000   1.20605587E+02   1.22888780E+02   1.19280102E+02
    1.2000000000   1.21349478E+02   1.23770054E+02   1.19895536E+02
    1.3000000000   1.22108843E+02   1.24699988E+02   1.20530283E+02
    1.4000000000   1.22872842E+02   1.25673566E+02   1.21174964E+02
    1.5000000000   1.23629824E+02   1.26687430E+02   1.21819378E+02
    1.6000000000   1.24367337E+02   1.27742088E+02   1.22452476E+02
    1.7000000000   1.25072089E+02   1.28851007E+02   1.23062329E+02
    1.8000000000   1.25729921E+02   1.30100870E+02   1.23636079E+02
    1.9000000000   1.26325749E+02   1.30969665E+02   1.24159864E+02
    2.0000000000   1.26843485E+02   1.31621114E+02   1.24618729E+02
    2.1000000000   1.27265939E+02   1.32196628E+02   1.24996498E+02
    2.2000000000   1.27574686E+02   1.32670005E+02   1.25275616E+02
    2.3000000000   1.27749903E+02   1.33010853E+02   1.25436941E+02
    2.4000000000   1.27770153E+02   1.33191480E+02   1.25459486E+02
    2.5000000000   1.27612121E+02   1.33177189E+02   1.25320085E+02
    2.6000000000   1.27250273E+02   1.32930584E+02   1.24992960E+02
    2.7000000000   1.26656422E+02   1.32407837E+02   1.24449170E+02
    2.8000000000   1.25799165E+02   1.31561146E+02   1.23655890E+02
    2.9000000000   1.24643146E+02   1.30329554E+02   1.22575453E+02
    3.0000000000   1.23148075E+02   1.28642244E+02   1.21164062E+02
