# MS = 1000, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY
   -3.0000000000   1.08805945E+02   1.11146333E+02   1.10771358E+02
   -2.9000000000   1.10849522E+02   1.13429054E+02   1.12484288E+02
   -2.8000000000   1.12477931E+02   1.15219810E+02   1.13836200E+02
   -2.7000000000   1.13744825E+02   1.16588989E+02   1.14873364E+02
   -2.6000000000   1.14695694E+02   1.17595012E+02   1.15635117E+02
   -2.5000000000   1.15369758E+02   1.18287246E+02   1.16155414E+02
   -2.4000000000   1.15801330E+02   1.18708058E+02   1.16463971E+02
   -2.3000000000   1.16020816E+02   1.18894292E+02   1.16587118E+02
   -2.2000000000   1.16055445E+02   1.18878381E+02   1.16548441E+02
   -2.1000000000   1.15929980E+02   1.18689177E+02   1.16369291E+02
   -2.0000000000   1.15666958E+02   1.18352614E+02   1.16069175E+02
   -1.9000000000   1.15287182E+02   1.17892138E+02   1.15666066E+02
   -1.8000000000   1.14809967E+02   1.17329208E+02   1.15176650E+02
   -1.7000000000   1.14253354E+02   1.16683541E+02   1.14616522E+02
   -1.6000000000   1.13634280E+02   1.15973379E+02   1.14000346E+02
   -1.5000000000   1.12968715E+02   1.15215684E+02   1.13341969E+02
   -1.4000000000   1.12271758E+02   1.14426297E+02   1.12654523E+02
   -1.3000000000   1.11557710E+02   1.13620051E+02   1.11950489E+02
   -1.2000000000   1.10840124E+02   1.12810866E+02   1.11241745E+02
   -1.1000000000   1.10131826E+02   1.12011809E+02   1.10539594E+02
   -1.0000000000   1.09444929E+02   1.11235132E+02   1.09854776E+02
    -.9000000000   1.08790815E+02   1.10492294E+02   1.09197457E+02
    -.8000000000   1.08180116E+02   1.09793964E+02   1.08577217E+02
    -.7000000000   1.07622673E+02   1.09150005E+02   1.08003012E+02
    -.6000000000   1.07127493E+02   1.08569452E+02   1.07483131E+02
    -.5000000000   1.06702685E+02   1.08060473E+02   1.07025149E+02
    -.4000000000   1.06355413E+02   1.07630335E+02   1.06635863E+02
    -.3000000000   1.06091825E+02   1.07285350E+02   1.06321238E+02
    -.2000000000   1.05916998E+02   1.07030829E+02   1.06086337E+02
    -.1000000000   1.05834885E+02   1.06871043E+02   1.05935264E+02
               0   1.05848266E+02   1.06809135E+02   1.05871108E+02
     .1000000000   1.05958710E+02   1.06847278E+02   1.05895891E+02
     .2000000000   1.06166553E+02   1.06986271E+02   1.06010531E+02
     .3000000000   1.06470877E+02   1.07225898E+02   1.06214810E+02
     .4000000000   1.06869516E+02   1.07564726E+02   1.06507356E+02
     .5000000000   1.07359061E+02   1.08000152E+02   1.06885637E+02
     .6000000000   1.07934885E+02   1.08528403E+02   1.07345964E+02
     .7000000000   1.08591163E+02   1.09144556E+02   1.07883510E+02
     .8000000000   1.09320915E+02   1.09842551E+02   1.08492328E+02
     .9000000000   1.10116032E+02   1.10615212E+02   1.09165382E+02
    1.0000000000   1.10967315E+02   1.11454261E+02   1.09894578E+02
    1.1000000000   1.11864499E+02   1.12350325E+02   1.10670795E+02
    1.2000000000   1.12796273E+02   1.13292930E+02   1.11483911E+02
    1.3000000000   1.13750287E+02   1.14270493E+02   1.12322825E+02
    1.4000000000   1.14713138E+02   1.15270282E+02   1.13175466E+02
    1.5000000000   1.15670343E+02   1.16278378E+02   1.14028793E+02
    1.6000000000   1.16606279E+02   1.17279622E+02   1.14868771E+02
    1.7000000000   1.17504106E+02   1.18257622E+02   1.15680330E+02
    1.8000000000   1.18345642E+02   1.19195061E+02   1.16447301E+02
    1.9000000000   1.19111209E+02   1.20075648E+02   1.17152320E+02
    2.0000000000   1.19779469E+02   1.20898841E+02   1.17776695E+02
    2.1000000000   1.20326997E+02   1.21536647E+02   1.18300231E+02
    2.2000000000   1.20728171E+02   1.22031762E+02   1.18701005E+02
    2.3000000000   1.20954593E+02   1.22359470E+02   1.18955064E+02
    2.4000000000   1.20974565E+02   1.22476691E+02   1.19036048E+02
    2.5000000000   1.20752372E+02   1.22337066E+02   1.18914696E+02
    2.6000000000   1.20247333E+02   1.21886919E+02   1.18558199E+02
    2.7000000000   1.19412554E+02   1.21062301E+02   1.17929358E+02
    2.8000000000   1.18193217E+02   1.19785348E+02   1.16985446E+02
    2.9000000000   1.16524213E+02   1.17959157E+02   1.15676666E+02
    3.0000000000   1.14326758E+02   1.15460122E+02   1.13943998E+02
