# MS = 1000, TanBeta = 5, Xt = 2.44949
#             MS        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   90.9999999984   7.91846447E+01   7.90822375E+01   1.01552170E+02                -
   97.6002608442   8.32060068E+01   8.36188239E+01   1.02202108E+02                -
  104.6792408569   8.66360597E+01   8.74778436E+01   1.02837896E+02                -
  112.2716616901   8.97101480E+01   9.02599949E+01   1.03459919E+02                -
  120.4147633808   9.24980231E+01   9.30216274E+01   1.04068548E+02                -
  129.1484869982   9.50310624E+01   9.55917471E+01   1.04664147E+02                -
  138.5156705510   9.73422844E+01   9.79863378E+01   1.05247065E+02                -
  148.5622590882   9.94569085E+01   1.00227502E+02   1.05817642E+02                -
  159.3375301133   1.01394940E+02   1.02336600E+02   1.06376210E+02                -
  170.8943351995   1.03170105E+02   1.04331916E+02   1.06923088E+02                -
  183.2893592772   1.04754440E+02   1.06225058E+02   1.07458587E+02                -
  196.5833986541   1.06188774E+02   1.08020836E+02   1.07983008E+02                -
  210.8416592146   1.07460968E+02   1.09714353E+02   1.08496641E+02                -
  226.1340762256   1.08520133E+02   1.11285567E+02   1.08999771E+02                -
  242.5356574502   1.09256541E+02   1.12687620E+02   1.09492671E+02                -
  260.1268509224   1.09407734E+02   1.13830604E+02   1.09975607E+02                -
  278.9939396218   1.08175287E+02   1.13738879E+02   1.10448836E+02                -
  299.2294646619   1.00862058E+02   1.09778397E+02   1.10912609E+02   1.40266130e+02
  320.9326791945   8.81570007E+01   9.20280067E+01   1.11367166E+02   1.06298618e+02
  344.2100352017   1.04510276E+02   1.03666038E+02   1.11812743E+02   1.10956293e+02
  369.1757057673   1.08035402E+02   1.09890048E+02   1.12249568E+02   1.13119548e+02
  395.9521448842   1.09871765E+02   1.12306321E+02   1.12677860E+02   1.14494871e+02
  424.6706882093   1.11117629E+02   1.13738354E+02   1.13097834E+02   1.15523920e+02
  455.4721972196   1.12075699E+02   1.14748159E+02   1.13509698E+02   1.16367393e+02
  488.5077501223   1.12867112E+02   1.15531241E+02   1.13913651E+02   1.17097629e+02
  523.9393828785   1.13550957E+02   1.16176170E+02   1.14309891E+02   1.17753178e+02
  561.9408839163   1.14159927E+02   1.16729970E+02   1.14698605E+02   1.18356827e+02
  602.6986467658   1.14713798E+02   1.17222712E+02   1.15079977E+02   1.18927714e+02
  646.4125839746   1.15225358E+02   1.17650608E+02   1.15454186E+02   1.19331683e+02
  693.2971078714   1.15703312E+02   1.18029239E+02   1.15821405E+02   1.19814847e+02
  743.5821821838   1.16153837E+02   1.18355130E+02   1.16181802E+02   1.20274041e+02
  797.5144499863   1.16581503E+02   1.18655983E+02   1.16535539E+02   1.20712430e+02
  855.3584433740   1.16989655E+02   1.18934660E+02   1.16882774E+02   1.21132551e+02
  917.3978813010   1.17380968E+02   1.19193251E+02   1.17223662E+02   1.21536380e+02
  983.9370606967   1.17757516E+02   1.19433916E+02   1.17558351E+02   1.21925505e+02
 1055.3023493356   1.18120966E+02   1.19658475E+02   1.17886986E+02   1.22301231e+02
 1131.8437865576   1.18472667E+02   1.19868449E+02   1.18209708E+02   1.22664646e+02
 1213.9368001745   1.18813733E+02   1.20065129E+02   1.18526654E+02   1.23016666e+02
 1301.9840477743   1.19145089E+02   1.20249619E+02   1.18837955E+02   1.23358073e+02
 1396.4173922271   1.19467515E+02   1.20422877E+02   1.19143742E+02   1.23689553e+02
 1497.7000191730   1.19781672E+02   1.20585741E+02   1.19444140E+02   1.24011692e+02
 1606.3287093934   1.20088125E+02   1.20738947E+02   1.19739271E+02   1.24325011e+02
 1722.8362753486   1.20387364E+02   1.20883153E+02   1.20029252E+02   1.24629971e+02
 1847.7941745671   1.20679812E+02   1.21018945E+02   1.20314200E+02   1.24926982e+02
 1981.8153123877   1.20965843E+02   1.21146852E+02   1.20594226E+02   1.25216414e+02
 2125.5570489754   1.21245784E+02   1.21267353E+02   1.20869439E+02   1.25498600e+02
 2279.7244224569   1.21519925E+02   1.21380883E+02   1.21139946E+02   1.25773843e+02
 2445.0736078110   1.21788484E+02   1.21487839E+02   1.21405849E+02   1.26042418e+02
 2622.4156256443   1.22051774E+02   1.21588587E+02   1.21667249E+02   1.26304580e+02
 2812.6203201629   1.22309968E+02   1.21683463E+02   1.21924242E+02   1.26560562e+02
 3016.6206256683   1.22563257E+02   1.21772778E+02   1.22176925E+02   1.26810581e+02
 3235.4171421794   1.22811816E+02   1.21856819E+02   1.22425390E+02   1.27054836e+02
 3470.0830445447   1.23055804E+02   1.21935854E+02   1.22669726E+02   1.27293517e+02
 3721.7693443774   1.23295370E+02   1.22010133E+02   1.22910022E+02   1.27526797e+02
 3991.7105368771   1.23530650E+02   1.22079888E+02   1.23146363E+02   1.27754843e+02
 4281.2306555985   1.23761771E+02   1.22145339E+02   1.23378831E+02   1.27977809e+02
 4591.7497666994   1.23988854E+02   1.22206688E+02   1.23607507E+02   1.28195843e+02
 4924.7909337245   1.24212009E+02   1.22264130E+02   1.23832472E+02   1.28409085e+02
 5281.9876900118   1.24431341E+02   1.22317844E+02   1.24053800E+02   1.28617666e+02
 5665.0920481484   1.24646950E+02   1.22368002E+02   1.24271568E+02   1.28821714e+02
 6075.9830952811   1.24858930E+02   1.22414819E+02   1.24485848E+02   1.29021348e+02
 6516.6762093844   1.25067370E+02   1.22458346E+02   1.24696711E+02   1.29216686e+02
 6989.3329444808   1.25272356E+02   1.22498776E+02   1.24904227E+02   1.29407837e+02
 7496.2716320893   1.25473968E+02   1.22536246E+02   1.25108463E+02   1.29594907e+02
 8039.9787553490   1.25672284E+02   1.22570885E+02   1.25309485E+02   1.29777999e+02
 8623.1211406152   1.25867381E+02   1.22602819E+02   1.25507357E+02   1.29956776e+02
 9248.5590408126   1.26059328E+02   1.22632164E+02   1.25702141E+02   1.30132647e+02
 9919.3601639805   1.26248197E+02   1.22659032E+02   1.25893900E+02   1.30304392e+02
10638.8147200625   1.26434052E+02   1.22683306E+02   1.26082692E+02   1.30471772e+02
11410.4515579037   1.26616959E+02   1.22705515E+02   1.26268576E+02   1.30636246e+02
12238.0554783759   1.26796980E+02   1.22725557E+02   1.26451609E+02   1.30798384e+02
13125.6857918182   1.26974175E+02   1.22743520E+02   1.26631845E+02   1.30956241e+02
14077.6962328661   1.27148602E+02   1.22759491E+02   1.26809339E+02   1.31110827e+02
15098.7563140043   1.27320319E+02   1.22773522E+02   1.26984143E+02   1.31262182e+02
16193.8742290415   1.27489380E+02   1.22785754E+02   1.27156310E+02   1.31410446e+02
17368.4214177814   1.27655838E+02   1.22796252E+02   1.27325889E+02   1.31555575e+02
18628.1589105151   1.27819743E+02   1.22805072E+02   1.27492929E+02   1.31697821e+02
19979.2655926028   1.27981150E+02   1.22812296E+02   1.27657478E+02   1.31832943e+02
21428.3685004663   1.28140105E+02   1.22817985E+02   1.27819584E+02   1.31968565e+02
22982.5753335889   1.28296656E+02   1.22822202E+02   1.27979292E+02   1.32107368e+02
24649.5093153077   1.28450851E+02   1.22825014E+02   1.28136646E+02   1.32231001e+02
26437.3465839331   1.28602734E+02   1.22826480E+02   1.28291690E+02   1.32366783e+02
28354.8562930239   1.28752349E+02   1.22826659E+02   1.28444467E+02   1.32481812e+02
30411.4436343266   1.28899740E+02   1.22825604E+02   1.28595018E+02   1.32602779e+02
32617.1959528275   1.29044948E+02   1.22823359E+02   1.28743385E+02   1.32721042e+02
34982.9322349006   1.29188017E+02   1.22820006E+02   1.28889606E+02   1.32836254e+02
37520.2561716700   1.29328983E+02   1.22815524E+02   1.29033722E+02   1.32948538e+02
40241.6130739117   1.29467887E+02   1.22810065E+02   1.29175769E+02   1.33057113e+02
43160.3509106959   1.29604766E+02   1.22803578E+02   1.29315785E+02   1.33164090e+02
46290.7857967636   1.29739659E+02   1.22796213E+02   1.29453806E+02   1.33268229e+02
49648.2721865642   1.29872601E+02   1.22787886E+02   1.29589869E+02   1.33367736e+02
53249.2782026504   1.30003628E+02   1.22778694E+02   1.29724007E+02   1.33460823e+02
57111.4664060877   1.30132775E+02   1.22768761E+02   1.29856255E+02   1.33548947e+02
61253.7804294845   1.30260076E+02   1.22757881E+02   1.29986645E+02   1.33644672e+02
65696.5378869760   1.30385567E+02   1.22749529E+02   1.30115211E+02   1.33748818e+02
70461.5300558487   1.30509275E+02   1.22738387E+02   1.30241984E+02   1.33828375e+02
75572.1287224104   1.30631234E+02   1.23121785E+02   1.30366996E+02   1.34179073e+02
81053.4008431245   1.30751413E+02   1.23261726E+02   1.30490277E+02   1.34331618e+02
86932.2314893061   1.30869967E+02   0.00000000E+00   1.30611856E+02   1.34584693e+02
93237.4557156087   1.30986863E+02   1.23446324E+02   1.30731763E+02   1.34871997e+02
99999.9999929771   1.31102132E+02   1.23117302E+02   1.30850027E+02   1.34485821e+02
