# MS = 200, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   -3.0000000000   1.13748199E+02   1.11852142E+02   9.93253237E+01                -
   -2.9400000000   1.12910097E+02   1.11044635E+02   1.01066182E+02                -
   -2.8800000000   1.12105953E+02   1.10270468E+02   1.02569185E+02                -
   -2.8200000000   1.11336243E+02   1.09530066E+02   1.03855526E+02                -
   -2.7600000000   1.10601414E+02   1.08823822E+02   1.04943623E+02                -
   -2.7000000000   1.09901886E+02   1.08152096E+02   1.05849671E+02                -
   -2.6400000000   1.09238041E+02   1.07515200E+02   1.06588051E+02                -
   -2.5800000000   1.08610213E+02   1.06913386E+02   1.07171660E+02                -
   -2.5200000000   1.08018653E+02   1.06346811E+02   1.07612159E+02                -
   -2.4600000000   1.07463466E+02   1.05815468E+02   1.07920178E+02                -
   -2.4000000000   1.06944463E+02   1.05319036E+02   1.08105480E+02                -
   -2.3400000000   1.06460809E+02   1.04856535E+02   1.08177090E+02                -
   -2.2800000000   1.06010120E+02   1.04425431E+02   1.08143409E+02                -
   -2.2200000000   1.05585763E+02   1.04018972E+02   1.08012300E+02                -
   -2.1600000000   1.05166597E+02   1.03615694E+02   1.07791172E+02                -
   -2.1000000000   1.04650679E+02   1.03113749E+02   1.07487037E+02                -
   -2.0400000000   1.04054243E+02   1.02355010E+02   1.07106568E+02   1.05163859e+02
   -1.9800000000   1.05044208E+02   1.04764746E+02   1.06656150E+02   1.03604770e+02
   -1.9200000000   1.03430021E+02   1.01857400E+02   1.06141915E+02   1.02531739e+02
   -1.8600000000   1.03118196E+02   1.01763821E+02   1.05569780E+02   1.02137483e+02
   -1.8000000000   1.02428919E+02   1.01143250E+02   1.04945478E+02   1.01460314e+02
   -1.7400000000   1.01652445E+02   1.00451246E+02   1.04274581E+02   1.00742907e+02
   -1.6800000000   1.00861289E+02   9.97420423E+01   1.03562527E+02   1.00020827e+02
   -1.6200000000   1.00075995E+02   9.90332651E+01   1.02814637E+02   9.93065107e+01
   -1.5600000000   9.93051037E+01   9.83331072E+01   1.02036134E+02   9.86057623e+01
   -1.5000000000   9.85529327E+01   9.76461461E+01   1.01232154E+02   9.79217901e+01
   -1.4400000000   9.78219836E+01   9.69752818E+01   1.00407758E+02   9.72565977e+01
   -1.3800000000   9.71138680E+01   9.63225305E+01   9.95679428E+01   9.66115644e+01
   -1.3200000000   9.64297218E+01   9.56894023E+01   9.87176473E+01   9.59877192e+01
   -1.2600000000   9.57704093E+01   9.50770984E+01   9.78617542E+01   9.53858828e+01
   -1.2000000000   9.51366313E+01   9.44866209E+01   9.70050934E+01   9.48067458e+01
   -1.1400000000   9.45289848E+01   9.39188382E+01   9.61524405E+01   9.42509133e+01
   -1.0800000000   9.39479982E+01   9.33745244E+01   9.53085130E+01   9.37189326e+01
   -1.0200000000   9.33941519E+01   9.28543850E+01   9.44779645E+01   9.32113093e+01
