# MS = 1000, TanBeta = 5, Xt = 2.44949
#             MS        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   90.9999999984   7.91846447E+01   7.90822375E+01   1.01393249E+02                -
   97.6002608442   8.32060068E+01   8.36188148E+01   1.02044211E+02                -
  104.6792408569   8.66360597E+01   8.82295412E+01   1.02680988E+02                -
  112.2716616901   8.97101480E+01   9.08823165E+01   1.03303967E+02                -
  120.4147633808   9.24980231E+01   9.35477062E+01   1.03913522E+02                -
  129.1484869982   9.50310624E+01   9.60217647E+01   1.04510014E+02                -
  138.5156705510   9.73422844E+01   9.83227640E+01   1.05093798E+02                -
  148.5622590882   9.94569085E+01   1.00474236E+02   1.05665214E+02                -
  159.3375301133   1.01394940E+02   1.02497423E+02   1.06224593E+02                -
  170.8943351995   1.03170105E+02   1.04409570E+02   1.06772258E+02                -
  183.2893592772   1.04754440E+02   1.06221051E+02   1.07308519E+02                -
  196.5833986541   1.06188774E+02   1.07936462E+02   1.07833679E+02                -
  210.8416592146   1.07460968E+02   1.09553603E+02   1.08348030E+02                -
  226.1340762256   1.08520133E+02   1.11061848E+02   1.08851855E+02                -
  242.5356574502   1.09256541E+02   1.12438990E+02   1.09345431E+02                -
  260.1268509224   1.09407734E+02   1.13654832E+02   1.09829023E+02                -
  278.9939396218   1.08175287E+02   1.13928392E+02   1.10302890E+02                -
  299.2294646619   1.00862058E+02   1.11547507E+02   1.10767281E+02   1.40266130e+02
  320.9326791945   8.81570007E+01   1.24359892E+02   1.11222441E+02   1.06298618e+02
  344.2100352017   1.04510276E+02   1.08034171E+02   1.11668603E+02   1.10956293e+02
  369.1757057673   1.08035402E+02   1.12124862E+02   1.12105997E+02   1.13119548e+02
  395.9521448842   1.09871765E+02   1.13985655E+02   1.12534844E+02   1.14494871e+02
  424.6706882093   1.11117629E+02   1.15239637E+02   1.12955357E+02   1.15523920e+02
  455.4721972196   1.12075699E+02   1.16216853E+02   1.13367745E+02   1.16367393e+02
  488.5077501223   1.12867112E+02   1.17038842E+02   1.13772210E+02   1.17097629e+02
  523.9393828785   1.13550957E+02   1.17763540E+02   1.14168947E+02   1.17753178e+02
  561.9408839163   1.14159927E+02   1.18423024E+02   1.14558146E+02   1.18356827e+02
