# MS = 1000, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   -3.0000000000   1.11141590E+02   1.11146333E+02   1.12237442E+02   1.11146212e+02
   -2.9400000000   1.12451483E+02   1.12579432E+02   1.13265959E+02   1.12558384e+02
   -2.8800000000   1.13588868E+02   1.13824108E+02   1.14162889E+02   1.13781485e+02
   -2.8200000000   1.14568499E+02   1.14897443E+02   1.14937857E+02   1.14833290e+02
   -2.7600000000   1.15403543E+02   1.15814568E+02   1.15599615E+02   1.15729463e+02
   -2.7000000000   1.16105834E+02   1.16588989E+02   1.16156169E+02   1.16483915e+02
   -2.6400000000   1.16686087E+02   1.17232846E+02   1.16614888E+02   1.17109094e+02
   -2.5800000000   1.17154059E+02   1.17757116E+02   1.16982590E+02   1.17616202e+02
   -2.5200000000   1.17518686E+02   1.18171781E+02   1.17265615E+02   1.18015387e+02
   -2.4600000000   1.17788195E+02   1.18485968E+02   1.17469890E+02   1.18315887e+02
   -2.4000000000   1.17970201E+02   1.18708058E+02   1.17600979E+02   1.18526154e+02
   -2.3400000000   1.18071778E+02   1.18845784E+02   1.17664130E+02   1.18653963e+02
   -2.2800000000   1.18099529E+02   1.18906311E+02   1.17664310E+02   1.18706450e+02
   -2.2200000000   1.18059641E+02   1.18896304E+02   1.17606240E+02   1.18690349e+02
   -2.1600000000   1.17957896E+02   1.18821984E+02   1.17494424E+02   1.18611812e+02
   -2.1000000000   1.17799861E+02   1.18689177E+02   1.17333171E+02   1.18476624e+02
   -2.0400000000   1.17590691E+02   1.18503362E+02   1.17126620E+02   1.18290205e+02
   -1.9800000000   1.17335321E+02   1.18269717E+02   1.16878752E+02   1.18057653e+02
   -1.9200000000   1.17038444E+02   1.17993089E+02   1.16593413E+02   1.17783776e+02
   -1.8600000000   1.16704542E+02   1.17678121E+02   1.16274322E+02   1.17473117e+02
   -1.8000000000   1.16337899E+02   1.17329208E+02   1.15925087E+02   1.17129988e+02
   -1.7400000000   1.15942621E+02   1.16950538E+02   1.15549210E+02   1.16758484e+02
   -1.6800000000   1.15522649E+02   1.16546108E+02   1.15150098E+02   1.16362505e+02
   -1.6200000000   1.15081771E+02   1.16119740E+02   1.14731070E+02   1.15945773e+02
   -1.5600000000   1.14623633E+02   1.15675094E+02   1.14295363E+02   1.15511848e+02
   -1.5000000000   1.14151749E+02   1.15215684E+02   1.13846132E+02   1.15064136e+02
   -1.4400000000   1.13669506E+02   1.14744884E+02   1.13386459E+02   1.14605904e+02
