# MS = 500, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   -3.0000000000   9.19577854E+01   9.27419272E+01   1.07495675E+02   9.26544689e+01
   -2.9400000000   9.69448544E+01   9.75563793E+01   1.08763087E+02   9.76198425e+01
   -2.8800000000   1.00858267E+02   9.81970326E+01   1.09864532E+02   1.01465881e+02
   -2.8200000000   1.03963508E+02   1.00888123E+02   1.10812986E+02   1.04486357e+02
   -2.7600000000   1.06439976E+02   1.03094464E+02   1.11620075E+02   1.06875008e+02
   -2.7000000000   1.08414935E+02   1.08619617E+02   1.12296298E+02   1.08766601e+02
   -2.6400000000   1.09982107E+02   1.10128351E+02   1.12851202E+02   1.10258590e+02
   -2.5800000000   1.11212565E+02   1.11312762E+02   1.13293531E+02   1.11423843e+02
   -2.5200000000   1.12161681E+02   1.12226745E+02   1.13631340E+02   1.12318283e+02
   -2.4600000000   1.12873302E+02   1.12912908E+02   1.13872096E+02   1.12985787e+02
   -2.4000000000   1.13382894E+02   1.13405620E+02   1.14022757E+02   1.13461441e+02
   -2.3400000000   1.13719557E+02   1.13733003E+02   1.14089843E+02   1.13773769e+02
   -2.2800000000   1.13907500E+02   1.13918372E+02   1.14079490E+02   1.13946300e+02
   -2.2200000000   1.13967110E+02   1.13981297E+02   1.13997504E+02   1.13998687e+02
   -2.1600000000   1.13915743E+02   1.13938384E+02   1.13849399E+02   1.13947553e+02
   -2.1000000000   1.13768328E+02   1.13803869E+02   1.13640434E+02   1.13807099e+02
   -2.0400000000   1.13537826E+02   1.13590073E+02   1.13375645E+02   1.13589579e+02
   -1.9800000000   1.13235582E+02   1.13307748E+02   1.13059869E+02   1.13305664e+02
   -1.9200000000   1.12871613E+02   1.12966361E+02   1.12697771E+02   1.12964722e+02
   -1.8600000000   1.12454820E+02   1.12574308E+02   1.12293859E+02   1.12575044e+02
   -1.8000000000   1.11993178E+02   1.12139089E+02   1.11852507E+02   1.12144018e+02
   -1.7400000000   1.11493870E+02   1.11667453E+02   1.11377962E+02   1.11678280e+02
   -1.6800000000   1.10963409E+02   1.11165509E+02   1.10874362E+02   1.11183819e+02
   -1.6200000000   1.10407733E+02   1.10638821E+02   1.10345746E+02   1.10666083e+02
   -1.5600000000   1.09832283E+02   1.10092488E+02   1.09796058E+02   1.10130045e+02
   -1.5000000000   1.09242071E+02   1.09531203E+02   1.09229158E+02   1.09580278e+02
   -1.4400000000   1.08641729E+02   1.08959310E+02   1.08648825E+02   1.09021000e+02
