# MS = 1000, TanBeta = 20, Xt = 0
#             MS        MSSMtower        MSSMMuBMu           HSSUSY
19979.2655926028   1.26249831E+02   1.28735748E+02   1.26047815E+02
21428.3685004663   1.26476963E+02   1.28970553E+02   1.26272935E+02
22982.5753335889   1.26700027E+02   1.29201122E+02   1.26494098E+02
24649.5093153077   1.26919105E+02   1.29427613E+02   1.26711396E+02
26437.3465839331   1.27134287E+02   1.29650739E+02   1.26924916E+02
28354.8562930239   1.27345663E+02   1.29869261E+02   1.27134743E+02
30411.4436343266   1.27553320E+02   0.00000000E+00   1.27340961E+02
32617.1959528275   1.27757340E+02   1.30377064E+02   1.27543650E+02
34982.9322349006   1.27957806E+02   1.30586653E+02   1.27742889E+02
37520.2561716700   1.28154844E+02   1.30773700E+02   1.27938752E+02
40241.6130739117   1.28348438E+02   1.30996029E+02   1.28131315E+02
43160.3509106959   1.28538709E+02   1.31179341E+02   1.28320649E+02
46290.7857967636   1.28725730E+02   0.00000000E+00   1.28506824E+02
49648.2721865642   1.28909570E+02   0.00000000E+00   1.28689907E+02
53249.2782026504   1.29090300E+02   0.00000000E+00   1.28869965E+02
57111.4664060877   1.29267961E+02   0.00000000E+00   1.29047062E+02
61253.7804294845   1.29442666E+02   0.00000000E+00   1.29221260E+02
65696.5378869760   1.29613829E+02   0.00000000E+00   1.29392621E+02
70461.5300558487   1.29782727E+02   0.00000000E+00   1.29561203E+02
75572.1287224104   1.29948824E+02   0.00000000E+00   1.29727064E+02
81053.4008431245   1.30112196E+02   0.00000000E+00   1.29890260E+02
86932.2314893061   1.30272854E+02   0.00000000E+00   1.30050846E+02
93237.4557156087   1.30430359E+02   0.00000000E+00   1.30208875E+02
99999.9999929771   1.30586948E+02   0.00000000E+00   1.30364399E+02
