# MS = 1000, TanBeta = 20, Xt = 2.44949
#             MS        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
 8623.1211406152   1.29329701E+02   1.33037471E+02   1.28752088E+02   1.32390100e+02
 9248.5590408126   1.29502821E+02   1.33146286E+02   1.28928506E+02   1.32475999e+02
 9919.3601639805   1.29673110E+02   1.33257237E+02   1.29102138E+02   1.32564024e+02
10638.8147200625   1.29840630E+02   1.33369879E+02   1.29273039E+02   1.32653716e+02
11410.4515579037   1.30005439E+02   1.33483841E+02   1.29441263E+02   1.32744017e+02
12238.0554783759   1.30167595E+02   1.33598792E+02   1.29606862E+02   1.32835241e+02
13125.6857918182   1.30327151E+02   1.33714479E+02   1.29769885E+02   1.32929650e+02
14077.6962328661   1.30484161E+02   1.33830635E+02   1.29930384E+02   1.33020453e+02
15098.7563140043   1.30638678E+02   1.33947037E+02   1.30088406E+02   1.33110782e+02
16193.8742290415   1.30790750E+02   1.34063585E+02   1.30243999E+02   1.33213904e+02
17368.4214177814   1.30940428E+02   1.34180087E+02   1.30397209E+02   1.33306691e+02
18628.1589105151   1.31087755E+02   1.34296426E+02   1.30548081E+02   1.33399968e+02
19979.2655926028   1.31232784E+02   1.34412377E+02   1.30696659E+02   1.33432746e+02
21428.3685004663   1.31375558E+02   1.34528593E+02   1.30842986E+02   1.33554778e+02
22982.5753335889   1.31516119E+02   1.34643658E+02   1.30987105E+02   1.33672203e+02
24649.5093153077   1.31654512E+02   1.34829220E+02   1.31129055E+02   1.33849749e+02
26437.3465839331   1.31790778E+02   1.34941292E+02   1.31268879E+02   1.33790482e+02
28354.8562930239   1.31924958E+02   1.35054605E+02   1.31406614E+02   1.34254111e+02
30411.4436343266   1.32057093E+02   1.35175102E+02   1.31542300E+02   1.33665877e+02
32617.1959528275   1.32187219E+02   0.00000000E+00   1.31675973E+02   1.34361371e+02
34982.9322349006   1.32315377E+02   0.00000000E+00   1.31807671E+02   1.31272000e+02
37520.2561716700   1.32441603E+02   0.00000000E+00   1.31937429E+02   1.34773068e+02
40241.6130739117   1.32565932E+02   0.00000000E+00   1.32065282E+02   1.28425633e+02
43160.3509106959   1.32688402E+02   0.00000000E+00   1.32191265E+02   1.32314011e+02
46290.7857967636   1.32809045E+02   0.00000000E+00   1.32315412E+02   1.55260574e+02
49648.2721865642   1.32927900E+02   0.00000000E+00   1.32437754E+02   1.38189058e+02
53249.2782026504   1.33044992E+02   0.00000000E+00   1.32558324E+02   1.28935530e+02
57111.4664060877   1.33160358E+02   0.00000000E+00   1.32677154E+02   1.38004037e+02
61253.7804294845   1.33274028E+02   0.00000000E+00   1.32794274E+02   1.59845801e+02
65696.5378869760   1.33386040E+02   0.00000000E+00   1.32909714E+02   1.60517879e+02
70461.5300558487   1.33496413E+02   0.00000000E+00   1.33023504E+02                -
75572.1287224104   1.33605182E+02   0.00000000E+00   1.33135673E+02   4.76893119e+01
81053.4008431245   1.33712375E+02   0.00000000E+00   1.33246247E+02                -
86932.2314893061   1.33818027E+02   0.00000000E+00   1.33355257E+02   3.90631014e+02
93237.4557156087   1.33922154E+02   0.00000000E+00   1.33462727E+02   1.10394151e+03
99999.9999929771   1.34024789E+02   0.00000000E+00   1.33568684E+02   7.53254478e+02
