# MS = 1000, TanBeta = 5, Xt = 2.44949
#             MS        MSSMtower        MSSMMuBMu           HSSUSY
   90.9999999984   7.90640146E+01   7.90822375E+01   1.05873558E+02
   97.6002608442   8.35488703E+01   8.36188148E+01   1.06358778E+02
  104.6792408569   8.70835795E+01   8.82295412E+01   1.06837763E+02
  112.2716616901   9.00215771E+01   9.08823165E+01   1.07310432E+02
  120.4147633808   9.27746659E+01   9.35477062E+01   1.07776725E+02
  129.1484869982   9.53160613E+01   9.60217647E+01   1.08236600E+02
  138.5156705510   9.76681177E+01   9.83227640E+01   1.08690034E+02
  148.5622590882   9.98548643E+01   1.00474236E+02   1.09137014E+02
  159.3375301133   1.01896861E+02   1.02497423E+02   1.09577545E+02
  170.8943351995   1.03809751E+02   1.04409570E+02   1.10011638E+02
  183.2893592772   1.05569072E+02   1.06221051E+02   1.10439319E+02
  196.5833986541   1.07220254E+02   1.07936462E+02   1.10860621E+02
  210.8416592146   1.08758653E+02   1.09553603E+02   1.11275582E+02
  226.1340762256   1.10146655E+02   1.11061848E+02   1.11684253E+02
  242.5356574502   1.11302335E+02   1.12438990E+02   1.12086684E+02
  260.1268509224   1.12038026E+02   1.13654832E+02   1.12482937E+02
  278.9939396218   1.11849531E+02   1.13928392E+02   1.12873073E+02
  299.2294646619   1.08776880E+02   1.11547507E+02   1.13257159E+02
  320.9326791945   9.02049733E+01   1.24359892E+02   1.13635267E+02
  344.2100352017   1.03849289E+02   1.08034171E+02   1.14007470E+02
  369.1757057673   1.10209458E+02   1.12124862E+02   1.14373842E+02
  395.9521448842   1.12605014E+02   1.13985655E+02   1.14734463E+02
  424.6706882093   1.14041195E+02   1.15239637E+02   1.15089410E+02
  455.4721972196   1.15078620E+02   1.16216853E+02   1.15438765E+02
  488.5077501223   1.15906410E+02   1.17038842E+02   1.15782608E+02
  523.9393828785   1.16607581E+02   1.17763540E+02   1.16121022E+02
  561.9408839163   1.17224689E+02   1.18423024E+02   1.16454089E+02
  602.6986467658   1.17781998E+02   1.19039097E+02   1.16781893E+02
  646.4125839746   1.18294500E+02   1.19602914E+02   1.17104516E+02
  693.2971078714   1.18771903E+02   1.20128021E+02   1.17422041E+02
  743.5821821838   1.19220955E+02   1.20607026E+02   1.17734550E+02
  797.5144499863   1.19646462E+02   1.21067072E+02   1.18042126E+02
  855.3584433740   1.20051951E+02   1.21509940E+02   1.18344851E+02
  917.3978813010   1.20440109E+02   1.21936867E+02   1.18642805E+02
  983.9370606967   1.20813020E+02   1.22349353E+02   1.18936069E+02
 1055.3023493356   1.21172338E+02   1.22748682E+02   1.19224723E+02
 1131.8437865576   1.21519397E+02   1.23135936E+02   1.19508846E+02
 1213.9368001745   1.21855294E+02   1.23512031E+02   1.19788515E+02
 1301.9840477743   1.22180935E+02   1.23877754E+02   1.20063808E+02
 1396.4173922271   1.22497094E+02   1.24233784E+02   1.20334801E+02
 1497.7000191730   1.22804431E+02   1.24580714E+02   1.20601569E+02
 1606.3287093934   1.23103508E+02   1.24919062E+02   1.20864185E+02
 1722.8362753486   1.23394819E+02   1.25249290E+02   1.21122724E+02
 1847.7941745671   1.23678796E+02   1.25571807E+02   1.21377257E+02
 1981.8153123877   1.23955821E+02   1.25886979E+02   1.21627854E+02
 2125.5570489754   1.24226236E+02   1.26195138E+02   1.21874586E+02
 2279.7244224569   1.24490348E+02   1.26496582E+02   1.22117521E+02
 2445.0736078110   1.24748434E+02   1.26791584E+02   1.22356726E+02
 2622.4156256443   1.25000703E+02   1.27080394E+02   1.22592268E+02
 2812.6203201629   1.25247469E+02   1.27363240E+02   1.22824212E+02
 3016.6206256683   1.25488905E+02   1.27640335E+02   1.23052621E+02
 3235.4171421794   1.25725180E+02   1.27911874E+02   1.23277560E+02
 3470.0830445447   1.25956527E+02   1.28178039E+02   1.23499089E+02
 3721.7693443774   1.26183090E+02   1.28439003E+02   1.23717269E+02
 3991.7105368771   1.26405028E+02   1.28694924E+02   1.23932160E+02
 4281.2306555985   1.26622490E+02   1.28945952E+02   1.24143821E+02
 4591.7497666994   1.26835614E+02   1.29192231E+02   1.24352308E+02
 4924.7909337245   1.27044569E+02   1.29433894E+02   1.24557678E+02
 5281.9876900118   1.27249411E+02   1.29671069E+02   1.24759987E+02
 5665.0920481484   1.27450292E+02   1.29903879E+02   1.24959289E+02
 6075.9830952811   1.27647295E+02   1.30132496E+02   1.25155636E+02
 6516.6762093844   1.27840587E+02   1.30356922E+02   1.25349081E+02
 6989.3329444808   1.28030240E+02   1.30577316E+02   1.25539676E+02
 7496.2716320893   1.28216351E+02   1.30793780E+02   1.25727470E+02
 8039.9787553490   1.28399015E+02   1.31006412E+02   1.25912512E+02
 8623.1211406152   1.28578321E+02   1.31215308E+02   1.26094852E+02
 9248.5590408126   1.28754356E+02   1.31420558E+02   1.26274536E+02
 9919.3601639805   1.28927203E+02   1.31622251E+02   1.26451610E+02
10638.8147200625   1.29096941E+02   1.31820220E+02   1.26626121E+02
11410.4515579037   1.29264860E+02   1.32015589E+02   1.26798113E+02
12238.0554783759   1.29428832E+02   1.32206537E+02   1.26967629E+02
13125.6857918182   1.29589955E+02   1.32394811E+02   1.27134713E+02
14077.6962328661   1.29748265E+02   1.32579929E+02   1.27299406E+02
15098.7563140043   1.29903847E+02   1.32761926E+02   1.27461750E+02
16193.8742290415   1.30054283E+02   1.32940943E+02   1.27621786E+02
17368.4214177814   1.30204257E+02   1.33117033E+02   1.27779552E+02
18628.1589105151   1.30351692E+02   1.33290245E+02   1.27935088E+02
19979.2655926028   1.30496624E+02   1.33460654E+02   1.28088431E+02
21428.3685004663   1.30639088E+02   1.33628319E+02   1.28239620E+02
22982.5753335889   1.30779180E+02   1.33793301E+02   1.28388690E+02
24649.5093153077   1.30916933E+02   1.33955660E+02   1.28535679E+02
26437.3465839331   1.31052400E+02   1.34115465E+02   1.28680619E+02
28354.8562930239   1.31185629E+02   1.34272762E+02   1.28823548E+02
30411.4436343266   1.31316595E+02   1.34427608E+02   1.28964497E+02
32617.1959528275   1.31445495E+02   1.34580077E+02   1.29103500E+02
34982.9322349006   1.31572301E+02   1.34730192E+02   1.29240591E+02
37520.2561716700   1.31697058E+02   1.34878028E+02   1.29375799E+02
40241.6130739117   1.31819780E+02   1.35023649E+02   1.29509158E+02
43160.3509106959   1.31940565E+02   1.35167061E+02   1.29640698E+02
46290.7857967636   1.32059428E+02   1.35308292E+02   1.29770448E+02
49648.2721865642   1.32176408E+02   1.35447546E+02   1.29898438E+02
53249.2782026504   1.32291544E+02   1.35584774E+02   1.30024697E+02
57111.4664060877   1.32404875E+02   1.35719709E+02   1.30149253E+02
61253.7804294845   1.32516437E+02   1.35853118E+02   1.30272135E+02
65696.5378869760   1.32626267E+02   1.35987246E+02   1.30393368E+02
70461.5300558487   1.32734398E+02   1.36117962E+02   1.30512981E+02
75572.1287224104   1.32840863E+02   1.36631869E+02   1.30631000E+02
81053.4008431245   1.32945751E+02   0.00000000E+00   1.30747449E+02
86932.2314893061   1.33048914E+02   0.00000000E+00   1.30862355E+02
93237.4557156087   1.33150814E+02   1.37369789E+02   1.30975741E+02
99999.9999929771   1.33250123E+02   0.00000000E+00   1.31087633E+02
