# MS = 1000, TanBeta = 20, Xt = 0
#             MS        MSSMtower        MSSMMuBMu           HSSUSY
  800.0200000000   1.09011389E+02   1.10843040E+02   1.08970869E+02
  809.1100000000   1.09105594E+02   1.10975783E+02   1.09066800E+02
  818.2000000000   1.09198451E+02   1.11129480E+02   1.09161274E+02
  827.2900000000   1.09289992E+02   1.11334077E+02   1.09254329E+02
  836.3800000000   1.09380250E+02   1.11350954E+02   1.09346002E+02
  845.4700000000   1.09469254E+02   1.11410262E+02   1.09436328E+02
  854.5600000000   1.09557035E+02   1.11504825E+02   1.09525343E+02
  863.6500000000   1.09643621E+02   1.11682279E+02   1.09613080E+02
  872.7400000000   1.09729040E+02   1.11827750E+02   1.09699571E+02
  881.8300000000   1.09813318E+02   1.11869890E+02   1.09784846E+02
  890.9200000000   1.09896482E+02   0.00000000E+00   1.09868935E+02
  900.0100000000   1.09978556E+02   0.00000000E+00   1.09951868E+02
  909.1000000000   1.10059565E+02   1.12078735E+02   1.10033672E+02
  918.1900000000   1.10139533E+02   1.12150425E+02   1.10114374E+02
  927.2800000000   1.10218483E+02   1.12223505E+02   1.10194000E+02
  936.3700000000   1.10296436E+02   1.12295223E+02   1.10272575E+02
  945.4600000000   1.10373414E+02   1.12367710E+02   1.10350123E+02
  954.5500000000   1.10449438E+02   1.12440954E+02   1.10426668E+02
  963.6400000000   1.10524529E+02   1.12512059E+02   1.10502233E+02
  972.7300000000   1.10598704E+02   1.12583675E+02   1.10576839E+02
  981.8200000000   1.10671986E+02   1.12655344E+02   1.10650508E+02
  990.9100000000   1.10744392E+02   1.12726380E+02   1.10723260E+02
 1000.0000000000   1.10815939E+02   1.12795544E+02   1.10795116E+02
