# MS = 10000, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   -3.0000000000   1.22945085E+02   1.11713408E+02   1.22855108E+02   1.23536908e+02
   -2.9400000000   1.23572011E+02   1.12542181E+02   1.23436617E+02   1.24296070e+02
   -2.8800000000   1.24124458E+02   1.13282091E+02   1.23947598E+02   1.24965379e+02
   -2.8200000000   1.24606837E+02   1.13938328E+02   1.24392596E+02   1.25550800e+02
   -2.7600000000   1.25023318E+02   1.14515769E+02   1.24775855E+02   1.26057898e+02
   -2.7000000000   1.25377860E+02   1.15019020E+02   1.25101352E+02   1.26491879e+02
   -2.6400000000   1.25674226E+02   1.15452445E+02   1.25372825E+02   1.26857628e+02
   -2.5800000000   1.25916009E+02   1.15820193E+02   1.25593801E+02   1.27159747e+02
   -2.5200000000   1.26106643E+02   1.16126223E+02   1.25767618E+02   1.27402580e+02
   -2.4600000000   1.26249419E+02   1.16374321E+02   1.25897441E+02   1.27590239e+02
   -2.4000000000   1.26347502E+02   1.16568122E+02   1.25986285E+02   1.27726627e+02
   -2.3400000000   1.26403933E+02   1.16711120E+02   1.26037025E+02   1.27815457e+02
   -2.2800000000   1.26421647E+02   1.16806686E+02   1.26052413E+02   1.27860263e+02
   -2.2200000000   1.26403474E+02   1.16858073E+02   1.26035085E+02   1.27864426e+02
   -2.1600000000   1.26352153E+02   1.16868437E+02   1.25987574E+02   1.27831174e+02
   -2.1000000000   1.26270332E+02   1.16840832E+02   1.25912321E+02   1.27763602e+02
   -2.0400000000   1.26160578E+02   1.16778231E+02   1.25811676E+02   1.27664680e+02
   -1.9800000000   1.26025378E+02   1.16683522E+02   1.25687910E+02   1.27537259e+02
   -1.9200000000   1.25867147E+02   1.16559518E+02   1.25543220E+02   1.27384808e+02
   -1.8600000000   1.25688228E+02   1.16408964E+02   1.25379732E+02   1.27207788e+02
   -1.8000000000   1.25490896E+02   1.16234538E+02   1.25199507E+02   1.27010922e+02
   -1.7400000000   1.25277360E+02   1.16038852E+02   1.25004545E+02   1.26795937e+02
   -1.6800000000   1.25049765E+02   1.15824463E+02   1.24796783E+02   1.26565198e+02
   -1.6200000000   1.24810196E+02   1.15593864E+02   1.24578106E+02   1.26320988e+02
   -1.5600000000   1.24560675E+02   1.15349494E+02   1.24350340E+02   1.26065510e+02
   -1.5000000000   1.24303163E+02   1.15093737E+02   1.24115259E+02   1.25800893e+02
   -1.4400000000   1.24039562E+02   1.14828523E+02   1.23874584E+02   1.25529188e+02
   -1.3800000000   1.23771714E+02   1.14556929E+02   1.23629982E+02   1.25252378e+02
   -1.3200000000   1.23501401E+02   1.14280760E+02   1.23383071E+02   1.24972374e+02
   -1.2600000000   1.23230343E+02   1.14002176E+02   1.23135413E+02   1.24691014e+02
   -1.2000000000   1.22960201E+02   1.13723276E+02   1.22888519E+02   1.24410075e+02
   -1.1400000000   1.22692573E+02   1.13446100E+02   1.22643844E+02   1.24131260e+02
   -1.0800000000   1.22428992E+02   1.13172625E+02   1.22402792E+02   1.23856208e+02
   -1.0200000000   1.22170930E+02   1.12904764E+02   1.22166706E+02   1.23586488e+02
    -.9600000000   1.21919790E+02   1.12644362E+02   1.21936875E+02   1.23323605e+02
    -.9000000000   1.21676909E+02   1.12393194E+02   1.21714526E+02   1.23068992e+02
    -.8400000000   1.21443555E+02   1.12152961E+02   1.21500826E+02   1.22824017e+02
    -.7800000000   1.21220925E+02   1.11925287E+02   1.21296880E+02   1.22589976e+02
    -.7200000000   1.21010143E+02   1.11711717E+02   1.21103726E+02   1.22368097e+02
    -.6600000000   1.20812260E+02   1.11513711E+02   1.20922337E+02   1.22159535e+02
    -.6000000000   1.20628251E+02   1.11332640E+02   1.20753616E+02   1.21965375e+02
    -.5400000000   1.20459010E+02   1.11169787E+02   1.20598396E+02   1.21786627e+02
    -.4800000000   1.20305356E+02   1.11026338E+02   1.20457435E+02   1.21624228e+02
    -.4200000000   1.20168024E+02   1.10903380E+02   1.20331421E+02   1.21479037e+02
    -.3600000000   1.20047667E+02   1.10801901E+02   1.20220961E+02   1.21351838e+02
    -.3000000000   1.19944855E+02   1.10722782E+02   1.20126586E+02   1.21243337e+02
    -.2400000000   1.19860071E+02   1.10666798E+02   1.20048750E+02   1.21154161e+02
    -.1800000000   1.19793712E+02   1.10634611E+02   1.19987823E+02   1.21084855e+02
    -.1200000000   1.19746089E+02   1.10626774E+02   1.19944096E+02   1.21035885e+02
    -.0600000000   1.19717424E+02   1.10643725E+02   1.19917777E+02   1.21007634e+02
               0   1.19707850E+02   1.10685783E+02   1.19908990E+02   1.21000403e+02
     .0600000000   1.19717412E+02   1.10753155E+02   1.19917777E+02   1.21014407e+02
     .1200000000   1.19746065E+02   1.10845928E+02   1.19944096E+02   1.21049788e+02
     .1800000000   1.19793675E+02   1.10964073E+02   1.19987823E+02   1.21106590e+02
     .2400000000   1.19860022E+02   1.11107446E+02   1.20048750E+02   1.21184788e+02
     .3000000000   1.19944794E+02   1.11275787E+02   1.20126586E+02   1.21284264e+02
     .3600000000   1.20047595E+02   1.11468725E+02   1.20220961E+02   1.21404823e+02
     .4200000000   1.20167940E+02   1.11685781E+02   1.20331421E+02   1.21546194e+02
     .4800000000   1.20305261E+02   1.11926375E+02   1.20457436E+02   1.21708029e+02
     .5400000000   1.20458905E+02   1.12189832E+02   1.20598396E+02   1.21889913e+02
     .6000000000   1.20628135E+02   1.12475398E+02   1.20753616E+02   1.22091372e+02
     .6600000000   1.20812136E+02   1.12782263E+02   1.20922337E+02   1.22311894e+02
     .7200000000   1.21010010E+02   1.13109973E+02   1.21103727E+02   1.22550960e+02
     .7800000000   1.21220783E+02   1.13457051E+02   1.21296880E+02   1.22808121e+02
     .8400000000   1.21443405E+02   1.13823418E+02   1.21500826E+02   1.23083175e+02
     .9000000000   1.21676753E+02   1.14209700E+02   1.21714526E+02   1.23376720e+02
     .9600000000   1.21919627E+02   1.14621771E+02   1.21936875E+02   1.23692721e+02
    1.0200000000   1.22170762E+02   1.15062066E+02   1.22166706E+02   1.23975012e+02
    1.0800000000   1.22428820E+02   1.15420711E+02   1.22402792E+02   1.24218000e+02
    1.1400000000   1.22692398E+02   1.15821787E+02   1.22643845E+02   1.24546665e+02
    1.2000000000   1.22960024E+02   1.16236611E+02   1.22888519E+02   1.24883842e+02
    1.2600000000   1.23230164E+02   1.16660384E+02   1.23135413E+02   1.25227994e+02
    1.3200000000   1.23501222E+02   1.17089250E+02   1.23383071E+02   1.25577499e+02
    1.3800000000   1.23771536E+02   1.17520488E+02   1.23629983E+02   1.25930638e+02
    1.4400000000   1.24039387E+02   1.17951580E+02   1.23874584E+02   1.26285603e+02
    1.5000000000   1.24302991E+02   1.18380063E+02   1.24115260E+02   1.26640490e+02
    1.5600000000   1.24560508E+02   1.18803468E+02   1.24350341E+02   1.26993298e+02
    1.6200000000   1.24810036E+02   1.19219287E+02   1.24578107E+02   1.27341926e+02
    1.6800000000   1.25049613E+02   1.19624957E+02   1.24796784E+02   1.27684168e+02
    1.7400000000   1.25277216E+02   1.20017850E+02   1.25004545E+02   1.28017709e+02
    1.8000000000   1.25490763E+02   1.20396124E+02   1.25199508E+02   1.28340121e+02
    1.8600000000   1.25688108E+02   1.20755311E+02   1.25379732E+02   1.28648855e+02
    1.9200000000   1.25867042E+02   1.21093365E+02   1.25543220E+02   1.28941237e+02
    1.9800000000   1.26025289E+02   1.21407323E+02   1.25687910E+02   1.29214457e+02
    2.0400000000   1.26160506E+02   1.21694117E+02   1.25811676E+02   1.29465561e+02
    2.1000000000   1.26270280E+02   1.21950574E+02   1.25912321E+02   1.29691442e+02
    2.1600000000   1.26352122E+02   1.22173399E+02   1.25987575E+02   1.29888825e+02
    2.2200000000   1.26403466E+02   1.22359172E+02   1.26035085E+02   1.30054258e+02
    2.2800000000   1.26421664E+02   1.22504328E+02   1.26052413E+02   1.30184092e+02
    2.3400000000   1.26403978E+02   1.22605153E+02   1.26037026E+02   1.30273884e+02
    2.4000000000   1.26347575E+02   1.22657760E+02   1.25986285E+02   1.30321270e+02
    2.4600000000   1.26249524E+02   1.22658076E+02   1.25897441E+02   1.30319505e+02
    2.5200000000   1.26106780E+02   1.22601819E+02   1.25767618E+02   1.30266507e+02
    2.5800000000   1.25916182E+02   1.22484236E+02   1.25593802E+02   1.30154568e+02
    2.6400000000   1.25674436E+02   1.22301016E+02   1.25372826E+02   1.29980510e+02
    2.7000000000   1.25378109E+02   1.22046868E+02   1.25101353E+02   1.29737913e+02
    2.7600000000   1.25023608E+02   1.21716395E+02   1.24775856E+02   1.29420621e+02
    2.8200000000   1.24607170E+02   1.21303831E+02   1.24392597E+02   1.29021871e+02
    2.8800000000   1.24124836E+02   1.20802980E+02   1.23947599E+02   1.28534620e+02
    2.9400000000   1.23572437E+02   1.20207162E+02   1.23436618E+02   1.27950876e+02
    3.0000000000   1.22945560E+02   1.19509134E+02   1.22855108E+02   1.27261983e+02
