# MS = 1000, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   -3.0000000000   1.11141590E+02   1.05404150E+02   1.12380843E+02   1.11146212e+02
   -2.9400000000   1.12451483E+02   1.06768935E+02   1.13408041E+02   1.12558384e+02
   -2.8800000000   1.13588868E+02   1.07969231E+02   1.14303840E+02   1.13781485e+02
   -2.8200000000   1.14568499E+02   1.09018064E+02   1.15077845E+02   1.14833290e+02
   -2.7600000000   1.15403543E+02   1.09927132E+02   1.15738791E+02   1.15729463e+02
   -2.7000000000   1.16105834E+02   1.10707016E+02   1.16294670E+02   1.16483915e+02
   -2.6400000000   1.16686087E+02   1.11367352E+02   1.16752836E+02   1.17109094e+02
   -2.5800000000   1.17154059E+02   1.11916969E+02   1.17120098E+02   1.17616202e+02
   -2.5200000000   1.17518686E+02   1.12364006E+02   1.17402787E+02   1.18015387e+02
   -2.4600000000   1.17788195E+02   1.12716001E+02   1.17606820E+02   1.18315887e+02
   -2.4000000000   1.17970201E+02   1.12979973E+02   1.17737755E+02   1.18526154e+02
   -2.3400000000   1.18071778E+02   1.13162485E+02   1.17800831E+02   1.18653963e+02
   -2.2800000000   1.18099529E+02   1.13269702E+02   1.17801011E+02   1.18706450e+02
   -2.2200000000   1.18059641E+02   1.13307438E+02   1.17743010E+02   1.18690349e+02
   -2.1600000000   1.17957896E+02   1.13281193E+02   1.17631326E+02   1.18611812e+02
   -2.1000000000   1.17799861E+02   1.13196193E+02   1.17470264E+02   1.18476624e+02
   -2.0400000000   1.17590691E+02   1.13057414E+02   1.17263957E+02   1.18290205e+02
   -1.9800000000   1.17335321E+02   1.12869630E+02   1.17016385E+02   1.18057653e+02
   -1.9200000000   1.17038444E+02   1.12637369E+02   1.16731387E+02   1.17783776e+02
   -1.8600000000   1.16704542E+02   1.12365025E+02   1.16412680E+02   1.17473117e+02
   -1.8000000000   1.16337899E+02   1.12056815E+02   1.16063867E+02   1.17129988e+02
   -1.7400000000   1.15942621E+02   1.11716808E+02   1.15688447E+02   1.16758484e+02
   -1.6800000000   1.15522649E+02   1.11348939E+02   1.15289825E+02   1.16362505e+02
   -1.6200000000   1.15081771E+02   1.10957018E+02   1.14871314E+02   1.15945773e+02
   -1.5600000000   1.14623633E+02   1.10544740E+02   1.14436149E+02   1.15511848e+02
   -1.5000000000   1.14151749E+02   1.10115691E+02   1.13987481E+02   1.15064136e+02
