# MS = 1000, TanBeta = 20, Xt = 2.44949
#             MS        MSSMtower        MSSMMuBMu           HSSUSY
19979.2655926028   1.33597546E+02   1.34412377E+02   1.31218446E+02
21428.3685004663   1.33725329E+02   1.34528593E+02   1.31354392E+02
22982.5753335889   1.33850914E+02   1.34643658E+02   1.31488393E+02
24649.5093153077   1.33974335E+02   1.34829220E+02   1.31620482E+02
26437.3465839331   1.34095639E+02   1.34941292E+02   1.31750692E+02
28354.8562930239   1.34214873E+02   1.35054605E+02   1.31879054E+02
30411.4436343266   1.34332083E+02   1.35175102E+02   1.32005599E+02
32617.1959528275   1.34447314E+02   0.00000000E+00   1.32130357E+02
34982.9322349006   1.34560607E+02   0.00000000E+00   1.32253359E+02
37520.2561716700   1.34671924E+02   0.00000000E+00   1.32374634E+02
40241.6130739117   1.34781437E+02   0.00000000E+00   1.32494211E+02
43160.3509106959   1.34889162E+02   0.00000000E+00   1.32612116E+02
46290.7857967636   1.34995110E+02   0.00000000E+00   1.32728380E+02
49648.2721865642   1.35099319E+02   0.00000000E+00   1.32843027E+02
53249.2782026504   1.35201825E+02   0.00000000E+00   1.32956086E+02
57111.4664060877   1.35302663E+02   0.00000000E+00   1.33067581E+02
61253.7804294845   1.35401869E+02   0.00000000E+00   1.33177539E+02
65696.5378869760   1.35499477E+02   0.00000000E+00   1.33285985E+02
70461.5300558487   1.35595517E+02   0.00000000E+00   1.33392944E+02
75572.1287224104   1.35690022E+02   0.00000000E+00   1.33498439E+02
81053.4008431245   1.35782976E+02   0.00000000E+00   1.33602494E+02
86932.2314893061   1.35874593E+02   0.00000000E+00   1.33705132E+02
93237.4557156087   1.35963588E+02   0.00000000E+00   1.33806377E+02
99999.9999929771   1.36050110E+02   0.00000000E+00   1.33906250E+02
