# MS = 100, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
    1.3800000000   7.80837091E+01   7.79720724E+01   9.09508806E+01   7.53140142e+01
    1.4400000000   7.83030634E+01   7.82088269E+01   9.21003476E+01   7.54302168e+01
    1.5000000000   7.85258117E+01   7.84525689E+01   9.32250461E+01   7.55490083e+01
    1.5600000000   7.87504450E+01   7.87026236E+01   9.43186655E+01   7.56688437e+01
    1.6200000000   7.89749261E+01   7.89581375E+01   9.53748699E+01   7.57874430e+01
    1.6800000000   7.91964058E+01   7.92180473E+01   9.63872772E+01   7.59017066e+01
    1.7400000000   7.94107181E+01   7.94811254E+01   9.73494335E+01   7.60069926e+01
    1.8000000000   7.96114127E+01   7.97463861E+01   9.82547861E+01   7.60960126e+01
    1.8600000000   7.97876971E+01   8.00153254E+01   9.90966521E+01   7.61583709e+01
    1.9200000000   7.99193825E+01   8.03102799E+01   9.98681837E+01   7.61839140e+01
    1.9800000000   7.99613198E+01   8.05336699E+01   1.00562329E+02   7.60996173e+01
    2.0400000000   7.97695400E+01   8.04939130E+01   1.01171787E+02   7.57617550e+01
    2.1000000000   7.85822979E+01   7.99102315E+01   1.01688960E+02   7.48367578e+01
    2.1600000000   8.01142840E+01   7.96774628E+01   1.02105893E+02   7.52996159e+01
    2.2200000000   8.04553540E+01   8.08725898E+01   1.02414209E+02   6.66296090e+01
    2.2800000000   8.12501767E+01   8.08775843E+01   1.02605032E+02                -
    2.3400000000   8.28900938E+01   8.29325667E+01   1.02668896E+02                -
    2.4000000000   8.38225495E+01   8.42156909E+01   1.02595634E+02                -
    2.4600000000   8.45669983E+01   8.51609444E+01   1.02374253E+02                -
    2.5200000000   8.52150202E+01   8.59497402E+01   1.01992770E+02                -
    2.5800000000   8.58033598E+01   8.63306004E+01   1.01438020E+02                -
    2.6400000000   8.63508764E+01   8.67534351E+01   1.00695410E+02                -
    2.7000000000   8.68687885E+01   8.71833993E+01   9.97486130E+01                -
    2.7600000000   8.73644259E+01   8.76047215E+01   9.85791667E+01                -
    2.8200000000   8.78428644E+01   8.80164105E+01   9.71659570E+01                -
    2.8800000000   8.83077807E+01   8.84196968E+01   9.54845242E+01                -
    2.9400000000   8.87619255E+01   8.88159512E+01   9.35061188E+01                -
    3.0000000000   8.92074070E+01   8.92064712E+01   9.11963846E+01                -
